"account","金額"
"(資産の部)","0"
"Ⅰ流動資産","(133,989,763)"
"現金及び預金","33,301,284"
"受取手形","335,500"
"電子記録債権","10,916,617"
"売掛金","74,635,848"
"棚卸資産","14,800,514"
"Ⅱ固定資産","(97,527,862)"
"有形固定資産","(96,908,872)"
"建物","52,186,799"
"構築物","4,738,025"
"機械及び装置","11,144,786"
"車両運搬具","2,054,567"
"工具、器具及び備品","1,784,695"
"土地","25,000,000"
"無形固定資産","(0)"
"投資その他の資産","(618,990)"
"敷金","600,000"
"リサイクル預託金","18,990"
"Ⅲ繰延資産","(0)"
"資産の部合計","231,517,625"
"(負債の部)","0"
"Ⅰ流動負債","(36,993,910)"
"買掛金","20,379,050"
"未払費用","8,567,129"
"未払法人税等","2,844,000"
"未払消費税等","5,035,800"
"預り金","167,931"
"Ⅱ固定負債","(76,150,000)"
"長期借入金","76,150,000"
"負債の部合計","113,143,910"
"(純資産の部)","0"
"Ⅰ株主資本","(118,373,715)"
"1.資本金","10,000,000"
"2.資本剰余金","(0)"
"3.利益剰余金","(108,373,715)"
"(1)その他利益剰余金","(108,373,715)"
"繰越利益剰余金","108,373,715"
"Ⅱ評価・換算差額等","(0)"
"Ⅲ新株予約権","(0)"
"純資産の部合計","118,373,715"
"負債・純資産の部合計","231,517,625"
