"account","amount_0","金額","amount_2"
"Ⅰ売上高","0","0","0"
"売上高","358,384,119","358,384,119","358,384,119"
"Ⅱ売上原価","0","0","0"
"期首棚卸高","0","15,856,121","0"
"商品仕入高","178,835,073","0","0"
"資材仕入","12,442,313","0","0"
"外注費","10,168,072","201,445,458","0"
"合計","0","217,301,579","0"
"期末棚卸高","0","14,800,514","202,501,065"
"売上総利益","0","0","155,883,054"
"Ⅲ販売費及び一般管理費","0","0","0"
"販売費及び一般管理費","0","123,726,086","123,726,086"
"営業利益","0","0","32,156,968"
"Ⅳ営業外収益","0","0","0"
"受取利息","0","222","0"
"為替差益","0","12","0"
"雑収入","0","31,621,546","31,621,780"
"Ⅴ営業外費用","0","0","0"
"支払利息","0","150,524","0"
"手形売却損","0","195,004","345,528"
"経常利益","0","0","63,433,220"
"Ⅵ特別利益","0","0","0"
"特別利益","0","0","0"
"Ⅶ特別損失","0","0","0"
"雑損失","0","709,036","0"
"圧縮損","0","28,104,722","28,813,758"
"税引前当期純利益","0","0","34,619,462"
"法人税、住民税及び事業税","0","10,429,600","10,429,600"
"当期純利益","0","0","24,189,862"
