"account","金","額"
"(売上高)","0","0"
"仲介売上高","3,313,518","0"
"管理売上高","936,656","0"
"家賃その他収入","494,751,104","0"
"不動産売却収入","142,880,267","641,881,545"
"(売上原価)","0","0"
"管理原価","85,920,657","0"
"物件減価償却費","166,957,499","0"
"不動産売却原価","118,131,658","0"
"不動産取得税","5,596,000","376,605,814"
"売上総利益金額","0","265,275,731"
"(販売費及び一般管理費)","0","309,959,630"
"営業損失金額","0","▲44,683,899"
"(営業外収益)","0","0"
"受取利息","2,886,026","0"
"受取配当金","709,869","0"
"有価証券売却益","542,518,752","0"
"雑収入","4,555,226","550,669,873"
"(営業外費用)","0","0"
"支払利息","73,348,847","0"
"有価証券売却損","61,213,307","0"
"社債保証料","1,100,597","0"
"貸倒損失","6,000,000","0"
"雑損失","12,065,265","153,728,016"
"経常利益金額","0","352,257,958"
"(特別利益)","0","0"
"固定資産売却益","0","4,880,104"
"(特別損失)","0","0"
"固定資産売却損","2,291,208","0"
"登録免許税","110,431,820","112,723,028"
"税引前当期純利益金額","0","244,415,034"
"法人税、住民税及び事業税","84,264,945","0"
"法人税等調整額","▲11,503","84,253,442"
"当期純利益金額","0","160,161,592"
