"account","金額_0","金額_1"
"[純売上高]","0","0"
"H売上NSH","170,203,113","0"
"H売上SSH","91,906,693","0"
"H売上NSHP","187,518,112","0"
"H売上OSH","155,906,904","0"
"H売上HKH","131,805,141","0"
"H売上KSH","199,578,926","0"
"H喜々津駅裏P収入","1,014,914","0"
"H売上JHK","22,736,384","0"
"H売上OSH2","248,119,687","0"
"H売上JHS","101,882,797","0"
"H売上SHN","82,720,415","0"
"H売上SSH2","11,610,309","0"
"Hマンスリー収入","231,457,720","0"
"H売電収入","28,624,013","1,665,085,128"
"[売上原価]","0","0"
"期首棚卸高","5,473,192","0"
"H原材料仕入高","31,188,486","0"
"合計","(36,661,678)","0"
"期末棚卸高","10,141,437","26,520,241"
"売上総利益","0","(1,638,564,887)"
"[販売費及び一般管理費]","0","0"
"H外注費","152,325,974","0"
"H広告宣伝費","4,414,904","0"
"H販売促進費","28,690,392","0"
"H役員報酬","6,000,000","0"
"H給料手当","188,170,521","0"
"H賞与","16,320,000","0"
"H福利厚生費","1,315,787","0"
"H法定福利費","21,002,649","0"
"H減価償却費","228,660,992","0"
"H貸借料等","135,531,967","0"
"Hリース料","21,901,670","0"
"H修繕費","48,393,578","0"
"H消耗品費","106,870,984","0"
"H旅費交通費","10,061,839","0"
"H支払手数料","77,626,565","0"
"H租税公課","75,316,817","0"
"H交際接待費","442,649","0"
"H保険料","9,680,040","0"
"H通信費","14,535,699","0"
