"account","amount_0"
"科目","0"
"【流動資産】","【29,399,902】"
"現金及び預金","6,438,069"
"窓口保険未収入金","558,810"
"社会保険未収入金","7,668,139"
"国民健康保険未収入金","11,344,843"
"有価証券","1,060,000"
"薬品","33,851"
"診療材料","1,613,090"
"前払金","540,000"
"未収入金","93,100"
"仮払金","50,000"
"【固定資産】","【13,536,375】"
"(有形固定資産)","(4,461,070)"
"医療機械","3,314,186"
"車両運搬具","677,730"
"器具備品","256,854"
"建設仮勘定","212,300"
"(無形固定資産)","(128,900)"
"ソフトウェア","128,900"
"(投資その他の資産)","(8,946,405)"
"保険積立金","8,924,125"
"リサイクル預託金","22,280"
"資産の部計","42,936,277"
"科目","0"
"【流動負債】","【52,191,557】"
"買掛金","4,966,682"
"短期借入金","25,500,000"
"未払金","4,585,295"
"仮受金","16,800,000"
"預り金","268,580"
"未払法人税等","71,000"
"【固定負債】","【18,493,000】"
"長期借入金","18,493,000"
"負債の部計","70,684,557"
"純贅産の部","0"
"【株主資本】","(▲27,748,280)"
"[利益剰余金]","[▲27,748,280]"
"(その他利益剰余金)","(▲27,748,280)"
"繰越利益剰余金","▲27,748,280"
"(うち当期純利益)","(▲17,545,670)"
"純資産の部計","▲27,748,280"
"負債・純資産の部計","42,936,277"
