"account","資本金","資本準備金","その他資本剰余金","利益準備金","その他利益剰余金","白己株式","株主資本合計","評価・換算差額等合計","新株予約権","純資産合計","繰越利益剩余金","利益剰余金合計"
"当期首残高","0","0","0","0","▲10,202,610","0","▲10,202,610","0","0","▲10,202,610","0","0"
"当期変動額","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純利益","0","0","0","0","▲17,545,670","0","▲17,545,670","0","0","▲17,545,670","0","0"
"当期変動額合計","0","0","0","0","▲17,545,670","0","▲17,545,670","0","0","▲17,545,670","0","0"
"当期末残高","0","0","0","0","▲27,748,280","0","▲27,748,280","0","0","▲27,748,280","0","0"
"当期首残高","0","0","0","0","0","0","0","0","0","0","▲10,202,610","▲10,202,610"
"当期変動額","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純利益","0","0","0","0","0","0","0","0","0","0","▲17,545,670","▲17,545,670"
"当期変動額合計","0","0","0","0","0","0","0","0","0","0","▲17,545,670","▲17,545,670"
"当期末残高","0","0","0","0","0","0","0","0","0","0","▲27,748,280","▲27,748,280"
