"account","金額"
"科目","0"
"【流動資産】","【115,298,106】"
"現金","167,497"
"預金","55,890,228"
"亊業未収金","58,459,889"
"給食用材料","580,492"
"貸付金","200,000"
"【固定資産】","【208,459,420】"
"[有形固定資産]","[208,092,753]"
"建物","171,880,153"
"構築物","612,943"
"機械装置","425,864"
"車両運搬具","224,390"
"器具備品","3"
"土地","34,949,400"
"[無形固定資産]","[366,667]"
"ソフトウェア","366,667"
"資産合計","323,757,526"
"科目","0"
"【流動負債】","【48,887,715】"
"短期借入金","20,000,000"
"亊業未払金","10,936,276"
"未払法人税等","141,000"
"未払費用","15,332,772"
"預り金","8,730"
"職員預り金","1,327,537"
"未払消費税等","1,141,400"
"【固定負債】","【344,065,000】"
"設備資金借入金","312,491,000"
"長期借入金","31,574,000"
"負債合計","392,952,715"
"【株主資本】","【▲69,195,189】"
"[資本金]","[3,000,000]"
"[利益剰余金]","[▲72,195,189]"
"(その他利益剰余金)","(▲72,195,189)"
"繰越利益剰余金","▲72,195,189"
"純資産合計","▲69,195,189"
"負債・純資産合計","323,757,526"
