"account","amount_0","金額","amount_2"
"売上高","0","0","0"
"売上高","1,610,176,382","1,610,176,382","0"
"売上値引戻り高","0","-705,007","1,609,471,375"
"II売上原価","0","0","0"
"期首棚卸高","0","71,016,516","0"
"商品仕入高","1,409,712,013","0","0"
"保管料","200,000","0","0"
"仕入値引戻し高","-3,840,646","1,406,071,367","0"
"合計","0","1,477,087,883","0"
"他勘定振替高","0","1,204,251","0"
"期末棚卸高","0","74,201,912","1,401,681,720"
"売上総利益","0","0","207,789,655"
"Ⅲ販売費及び一般管理費","0","0","0"
"販売費及び一般管理費","0","182,517,525","182,517,525"
"営業利益","0","0","25,272,130"
"Ⅳ営業外収益","0","0","0"
"受取利息","0","189","0"
"諸引当金戻入","0","22,000,000","0"
"仕入割引","0","157,486","0"
"受取配当金","0","4,116,855","0"
"雑収入","0","8,895,919","35,170,449"
"V営業外費用","0","0","0"
"支払利息","0","615,866","0"
"売上割引","0","1,238,249","0"
"諸引当金繰入","0","24,387,535","0"
"雑損失","0","2,283,066","28,524,716"
"経常利益","0","0","31,917,863"
"VI特別利益","0","0","0"
"特別利益","0","0","0"
"Ⅶ特別損失","0","0","0"
"諸引当金繰入","0","10,000,000","0"
"固定資産除却損","0","2","0"
"商品廃棄損","0","1,072,911","11,072,913"
"税引前当期純利益","0","0","20,844,950"
"法人税、住民税及び事業税","0","9,155,795","9,155,795"
"当期純利益","0","0","11,689,155"
