"account","前期額","構成比_0","決算額","構成比_1"
"I売上高","(272,718,199)","(100.0)","(296,940,090)","(100.0)"
"現金売上高","2,777,993","1.0","1,783,596","0.6"
"掛売上高","270,392,518","99.1","295,624,321","99.6"
"売上値引戻り高","-452,312","0.2","-467,827","0.2"
"Ⅱ売上原価","(207,026,524)","(75.9)","(223,797,907)","(75.4)"
"期首棚卸高","12,247,568","4.5","18,562,732","6.3"
"商品仕入高","211,636,513","77.6","223,767,231","75.4"
"外注加工費","1,830,496","0.7","1,663,800","0.6"
"仕入値引戻し高","-125,321","0.0","-78,381","0.0"
"合計","225,589,256","82.7","243,915,382","82.1"
"期末棚卸高","18,562,732","6.8","20,117,475","6.8"
"売上総利益","65,691,675","24.1","73,142,183","24.6"
"Ⅲ販売費及び一般管理費","(61,791,185)","(22.7)","(68,462,611)","(23.1)"
"販売費及び一般管理費","61,791,185","22.7","68,462,611","23.1"
"営業利益","3,900,490","1.4","4,679,572","1.6"
"Ⅳ営業外収益","(2,927,355)","(1.1)","(3,092,742)","(1.0)"
"受取利息","2,229","0.0","1,120","0.0"
"受取配当金","158,241","0.1","221,119","0.1"
"雑収入","2,766,885","1.0","2,870,503","1.0"
"Ⅴ営業外費用","(279,404)","(0.1)","(318,422)","(0.1)"
"支払利息割引料","279,404","0.1","318,422","0.1"
"経常利益","6,548,441","2.4","7,453,892","2.5"
"VI特別利益","(0)","(0.0)","(124,000)","(0.0)"
"貸倒引当金繰戻","0","0.0","124,000","0.0"
"VII特別損失","(284,000)","(0.1)","(2,000,000)","(0.7)"
"貸倒引当金繰入","284,000","0.1","0","0.0"
"退職金","0","0.0","2,000,000","0.7"
"税引前当期純利益","6,264,441","2.3","5,577,892","1.9"
"法人税、住民税及び事業税","1,305,100","0.5","905,900","0.3"
"当期純利益","4,959,341","1.8","4,671,992","1.6"
