"account","前期額","売上高比率_0","決算額","売上高比率_1"
"販売員給与","26,339,657","9.7","27,252,226","9.2"
"販売員旅費","42,819","0.0","65,928","0.0"
"広告宣伝費","170,451","0.1","72,000","0.0"
"発送配達日","532,352","0.2","520,649","0.2"
"負担金","109,409","0.0","108,000","0.0"
"支払手数料","312,270","0.1","314,632","0.1"
"リース料","270,720","0.1","257,120","0.1"
"役員報酬","9,089,600","3.3","9,549,600","3.2"
"法廷福利費","5,627,171","2.1","6,076,748","2.0"
"厚生費","866,665","0.3","1,212,636","0.4"
"賞与","5,820,000","2.1","7,261,000","2.4"
"減価償却費","657,779","0.2","689,811","0.2"
"地代家賃","949,092","0.3","1,154,092","0.4"
"修繕費","23,818","0.0","1,301,141","0.4"
"事務用消耗品費","488,721","0.2","380,858","0.1"
"通信交通費","1,245,234","0.5","1,191,587","0.4"
"水道光熱費","642,210","0.2","614,525","0.2"
"租税公課","627,667","0.2","717,527","0.2"
"寄付金","10,000","0.0","10,000","0.0"
"接待交際費","284,020","0.1","373,380","0.1"
"保険料","3,953,345","1.4","3,960,709","1.3"
"備品消耗品費","604,827","0.2","809,912","0.3"
"管理諸費","730,000","0.3","730,000","0.2"
"車両維持費","2,058,875","0.8","3,366,747","1.1"
"新聞図書費","36,332","0.0","376,451","0.1"
"雑費","298,151","0.1","376,451","0.1"
"合計","61,791,185","22.7","68,462,611","23.1"
"商品","18,562,732","6.8","20,117,475","6.8"
"合計","18,562,732","6.8","20,117,475","6.8"
