"account","金","額"
"(売上高)","0","0"
"売上高","442,786,271","0"
"兼業事業売上高","1,772,120","0"
"運送収入","290,691,757","0"
"売上高合計","0","735,250,148"
"(売上原価)","0","0"
"当期製品製造原価","685,339,859","0"
"合計","685,339,859","0"
"製品売上原価","0","685,339,859"
"売上原価","0","685,339,859"
"売上総利益金額","0","49,910,289"
"(販売費及び一般管理費)","0","0"
"販売費及び一般管理費合計","0","96,346,757"
"営業損失金額","0","46,436,468"
"(営業外収益)","0","0"
"受取利息","4,633","0"
"受取配当金","100,400","0"
"雑収入","3,780,595","0"
"営業外収益合計","0","3,885,628"
"(営業外費用)","0","0"
"支払利息","13,335,925","0"
"営業外費用合計","0","13,335,925"
"経常損失金額","0","55,886,765"
"(特別利益)","0","0"
"固定資産売却益","20,548,413","0"
"特別利益合計","0","20,548,413"
"(特別損失)","0","0"
"前期損益修正損","19,724,903","0"
"固定資産除却損","30","0"
"特別損失合計","0","19,724,933"
"税引前当期純損失金額","0","55,063,285"
"法人税、住民税及び事業税","0","227,210"
"当期純損失金額","0","55,290,495"
