"account","amount_0"
"(株主資本)","0"
"資本金当期首残高","40,000,000"
"当期末残高","40,000,000"
"利益剰余金","0"
"利益準備金当期首残高","10,000,000"
"当期末残高","10,000,000"
"その他利益剰余金","0"
"別途積立金当期首残高","648,500,000"
"当期末残高","648,500,000"
"繰越利益剰余金当期首残高","234,697,266"
"当期変動額当期純利益金額","-55,290,495"
"当期末残高","179,406,771"
"利益剰余金合計当期首残高","893,197,266"
"当期変動額","-55,290,495"
"当期末残高","837,906,771"
"株主資本合計当期首残高","933,197,266"
"当期変動額","-55,290,495"
"当期末残高","877,906,771"
"純資産の部合計当期首残高","933,197,266"
"当期変動額","-55,290,495"
"当期末残高","877,906,771"
