"account","金額"
"(流動資産)","0"
"現金及び預金","552,429,441"
"受取手形","302,506,822"
"売掛金","192,538,502"
"たな卸資産","148,740,534"
"原料及び材料","0"
"原材料","29,487,431"
"仕掛品及び半成工事","0"
"仕掛品","119,198,103"
"消耗品、消耗工具、器※01","0"
"貯蔵品","55,000"
"前払費用","42,900"
"前払保険料","19,048,200"
"その他の資産で1年内に※02","0"
"未収入金","17,977,990"
"仮払金","380,000"
"預け金","135,394"
"流動資産","1,233,799,783"
"(固定資産)","0"
"有形固定資産","0"
"建物及び暖房、照明、※03","0"
"建物","209,353,403"
"建物附属設備","7,763,802"
"構築物","1,907,461"
"機械及び装置並びにコ※04","0"
"機械及び装置","170,430,415"
"鉄道車両、自動車その※05","0"
"車両運搬具","250,561"
"工具、器具及び備品","3,517,533"
"土地","322,409,190"
"リース資産","724,970"
"有形固定資産","716,357,335"
"無形固定資産","0"
"ソフトウェア","3,192,512"
"その他の無形資産で流※06","0"
"電話加入権","411,952"
"無形固定資産","3,604,464"
"投資その他の資産","0"
"関係会社株式その他流※07","0"
"投資有価証券","418,477,514"
"出資金","0"
"出資金","3,480,000"
"前各号に掲げられるも※08","0"
"長期前払費用","1,139,605"
"(流動負債)","0"
"支払手形","154,890,567"
"買掛金","59,570,746"
"通常の取引に関連して発※09","0"
"未払法人税等","200,000"
"未払消費税等","41,656,800"
"その他の負債で1年内に※10","0"
"仮受金","1,387,522"
"流動負債","257,705,635"
"(固定負債)","0"
"長期借入金","0"
"長期借入金","1,267,034,000"
"その他の負債で流動負債※11","0"
"長期未払金","724,460"
"固定負債","1,267,758,460"
"<負債>","1,525,464,095"
"<純資産の部>","0"
"(株主資本)","0"
"資本金","51,000,000"
"利益剰余金","0"
"利益準備金","12,750,000"
"その他利益剰余金","0"
"別途積立金","967,250,000"
"繰越利益剰余金","-74,191,986"
"その他利益剰余金","893,058,014"
"利益剰余金","905,808,014"
"自己株式","-100,023,408"
"株主資本","856,784,606"
"<純資産>","856,784,606"
