"account","当年度末","前年度末","増減"
"流動資産","190,253,217","183,217,899","7,035,318"
"現金預金","65,463,665","67,048,118","-1,584,453"
"有価証券","0","0","0"
"事業未収金","123,395,245","114,444,139","8,951,106"
"未収金","0","50,000","-50,000"
"未収補助金","68,000","0","68,000"
"未収収益","0","0","0"
"受取手形","0","0","0"
"貯蔵品","0","0","0"
"医薬品","0","0","0"
"診療・療養費等材料","0","0","0"
"給食用材料","0","0","0"
"商品・製品","0","0","0"
"仕掛品","0","0","0"
"原材料","0","0","0"
"立替金","1,243,670","1,212,247","31,423"
"前払金","0","0","0"
"前払費用","0","0","0"
"1年以内回収予定社会福祉連携推進業務長期貸付金","0","0","0"
"1年以内回収予定長期貸付金","0","0","0"
"社会福祉連携推進業務短期貸付金","0","0","0"
"短期貸付金","0","0","0"
"仮払金","82,637","463,395","-380,758"
"その他の流動資産","0","0","0"
"貸倒引当金","0","0","0"
"徴収不能引当金","0","0","0"
"固定資産","1,757,613,114","1,870,015,568","-112,402,454"
"基本財産","1,676,862,151","1,774,540,567","-97,678,416"
"土地","500,645,145","500,645,145","0"
"建物","1,175,217,006","1,272,895,422","-97,678,416"
"定期預金","1,000,000","1,000,000","0"
"投資有価証券","0","0","0"
"その他の固定資産","80,750,963","95,475,001","-14,724,038"
"土地","391,292","391,292","0"
"建物","32,756,779","35,933,200","-3,176,421"
"構築物","4,009,447","7,509,483","-3,500,036"
"機械及び装置","6","6","0"
"車輌運搬具","798,004","1,098,604","-300,600"
"器具及び備品","10,282,545","13,517,596","-3,235,051"
"建設仮動定","0","0","0"
"有形リース資産","0","0","0"
"権利","4,809,000","4,809,000","0"
"ソフトワェア","5,386,700","7,541,380","-2,154,680"
"無形リース資産","0","0","0"
"投資有価証券","0","0","0"
"社会福祉連携推進業務長期貸付金","0","0","0"
"長期貸付金","0","0","0"
"退職給付引当資産","19,371,900","21,719,150","-2,347,250"
"長期預り金積立資産","0","0","0"
"敷金","0","0","0"
"差入保証金","866,000","876,000","-10,000"
"長期前払費用","0","0","0"
"その他の固定資産","2,079,290","2,079,290","0"
"貸倒引当金","0","0","0"
"徴収不能引当金","0","0","0"
"資産の部合計","1,947,866,331","2,053,233,467","-105,367,136"
"流動負債","203,436,595","174,328,329","29,108,266"
"短期運営資金借入金","8,000,000","0","8,000,000"
"事業末払金","65,476,494","41,827,607","23,648,887"
"その他の未払金","0","0","0"
"支払手形","0","0","0"
"社会福祉連携推進業務短期運営資金借入金","0","0","0"
"役員等短期借入金","13,000,012","5,000,012","8,000,000"
"1年以内返済予定社会福祉連携推進業務設備資金借入金","0","0","0"
"1年以内返済予定設備資金借入金","55,451,000","55,284,000","167,000"
"1年以内返済予定社会福祉連携推進業務長期運営資金借入金","0","0","0"
"1年以内返済予定長期運営資金借入金","9,554,000","14,094,000","-4,540,000"
"1年以内返済予定リース債務","0","0","0"
"1年以内返済予定役貝等長期借入金","0","0","0"
"1年以内支払予定長期未払金","12,748,104","12,748,104","0"
"未払費用","30,446,201","31,472,357","-1,026,156"
"預金","205,105","220,420","-15,315"
"職員預り金","3,334,679","3,427,329","-92,650"
"前受金","0","4,500","-4,500"
"前受収益","0","0","0"
"仮受金","10,000","0","10,000"
"貰与引当金","5,211,000","10,250,000","-5,039,000"
"その他の流動負債","0","0","0"
"固定負債","1,447,099,048","1,509,284,402","-62,185,354"
"社会福祉連携推進業務設備資金借入金","0","0","0"
"設備資金借入金","1,031,807,000","1,087,091,000","-55,284,000"
"社会福祉連携推進業務長期運営資金借入金","0","0","0"
"長期運営資金借入金","296,060,000","287,866,000","8,194,000"
"リース債務","0","0","0"
"役員等長期借入金","0","0","0"
"退職給付引当金","19,371,900","21,719,150","-2,347,250"
"役員退職慰労引当金","0","0","0"
"長期末払金","99,860,148","112,608,252","-12,748,104"
"長期預り金","0","0","0"
"その他の固定負債","0","0","0"
"負債の部合計","1,650,535,643","1,683,612,731","-33,077,088"
"基本金","219,458,000","219,458,000","0"
"第1号基本金","219,458,000","219,458,000","0"
"国庫補助金等特別積立金","449,139,663","474,298,226","-25,158,563"
"その他の積立金","0","0","0"
"次期繰越活動増減差額","-371,266,975","-324,135,490","-47,131,485"
"(うち当期活動増減差額)","-47,131,485","-107,935,776","60,804,291"
"純資産の部合計","297,330,688","369,620,736","-72,290,048"
"負債及び純資産の部合計","1,947,866,331","2,053,233,467","-105,367,136"
