"account","当年度決算(A)","前年度決算(B)","増減(A)-(B)"
"介護保険事業収益","893,416,433","846,596,266","46,820,167"
"研修事業収益","2,397,750","2,145,000","252,750"
"保育事業収益","0","0","0"
"経常経費寄附金収益","40,000","20,000","20,000"
"その他の収益","0","0","0"
"サービス活動収益計(1)","895,854,183","848,761,266","47,092,917"
"人件費","573,280,443","616,746,902","-43,466,459"
"事業費","126,499,314","130,494,122","-3,994,808"
"事務費","150,385,448","131,818,897","18,566,551"
"利用者負担軽減額","659,670","664,239","-4,569"
"減価償却費","110,045,203","106,396,479","3,648,724"
"国庫補助金等特別積立金取崩額","-25,158,563","-25,528,301","369,738"
"貸倒損失額","0","0","0"
"貸倒引当金繰入","0","0","0"
"徴収不能額","1,426,876","0","1,426,876"
"徴収不能引当金繰入","0","0","0"
"その他の費用","0","0","0"
"サービス活動費用計(2)","937,138,391","960,592,338","-23,453,947"
"サービス活動増減差額(3)=(1)-(2)","-41,284,208","-111,831,072","-23,453,947"
"借入金利息補助金収益","0","0","0"
"受取利息配当金収益","1,234","2,139","-905"
"社会福祉連携推進業務貸付金受取利益収益","0","0","0"
"有価証券評価益","0","0","0"
"有価証券売却益","0","0","0"
"投資有価証券評価益","0","0","0"
"投資有価証券売却益","0","0","0"
"基本財産評価益","0","0","0"
"積立資産評価益","0","0","0"
"その他のサービス活動外収益","10,702,315","21,495,955","-10,793,640"
"サービス活動外収益計(4)","10,703,549","21,498,094","-10,794,545"
"支払利息","14,079,588","14,627,607","-54,019"
"社会福祉連携推進業務借入金支払利息","0","0","0"
"有価証券評価損","0","0","0"
"有価証券売却損","0","0","0"
"基本財産評価損","0","0","0"
"積立資産評価損","0","0","0"
"その他のサービス活動外費用","2,471,237","2,469,662","1,575"
"サービス活動外費用計(5)","16,550,825","17,097,269","-546,444"
"サービス活動外増減差額(6)=(4)-(5)","-5,847,276","4,400,825","-10,248,101"
"経常増減差額(7)=(3)+(6)","-47,131,484","-107,430,247","60,298,763"
"施設設備等補助金収益","0","0","0"
"施設整備等寄附金収益","0","0","0"
"長期運営資金借入金元金償還寄附金収益","0","0","0"
"固定資産受贈額","0","0","0"
"固定資産売却益","0","0","0"
"その他の特別収益","0","0","0"
"特別収益計(8)","0","0","0"
"基本金組入額","0","0","0"
"資産評価損","0","0","0"
"固定資産売却損・処分損","1","505,529","-505,528"
"国庫補助金等特別積立金取崩額(除却等)","0","0","0"
