"account","amount_0","amount_1","amount_2"
"国庫補助金等特別積立金積立額","0","0","0"
"災害損失","0","0","0"
"その他の特別損失","0","0","0"
"特別費用計(9)","1","505,529","-505,528"
"特別増減差額(10)=(8)-(9)","-1","-505,529","505,528"
"当期活動増減差額(11)=(7)+(10)","-47,131,485","-107,935,776","60,804,291"
"前期繰越活動増減差額(12)","-324,135,490","-216,199,714","-107,935,776"
"当期末繰越活動増減差額(13)=(11)+(12)","-371,266,975","-324,135,490","-47,131,485"
"基本金取崩額(14)","0","0","0"
"その他の積立金取崩額(15)","0","0","0"
"その他の積立金積立額(16)","0","0","0"
"次期繰越活動増減差額(17)=(13)+(14)+(15)-(16)","-371,266,975","-324,135,490","-47,131,485"
