"account","amount_0"
"資産の部","0"
"流動資産","470,595,332"
"現金及び預金","57,843,150"
"受取手形","1,604,764"
"電子記録債権","7,933,640"
"売掛金","209,012,000"
"有価証券","33,860,237"
"原材料","27,685,963"
"仕掛品","27,932,163"
"在庫製品","26,249,347"
"短期貸付金","8,000,000"
"仮払金","244,226"
"立替金","6,864,167"
"未収入金","26,375,485"
"その他流動資産","39,425,972"
"貸倒引当金","-2,435,782"
"固定資産","396,649,035"
"有形固定資産","210,566,595"
"建物","59,476,492"
"機械並びに工具","18,102,765"
"什器並ぴ車両","9,162,329"
"リース資産","18,358,077"
"土地","105,466,932"
"無形固定資産","6,388,500"
"権利金及び敷金","6,388,500"
"投資その他の資産","179,693,940"
"子会社株式","113,386,352"
"投資有価証券","92,101"
"出資金等","5,001"
"長期貸付金","57,334,000"
"長期前払費用","8,009,670"
"繰延資産","866,816"
"合計","867,244,367"
"負債の部","0"
"流動負債","154,770,429"
"支払手形","501,930"
"電子記録債務","46,200,696"
"買掛金","80,789,819"
"未払金","16,101,761"
"預り金","4,448,480"
"仮受金","224,885"
"未払税金","5,640,500"
"未払法人税等","862,358"
"固定負債","610,900,565"
"長期借入金","591,875,866"
"リース負債","19,024,699"
"負債合計","765,670,994"
"純資産の部","0"
"株主資本","0"
"資本金","40,000,000"
"資本剰余金","15,649,750"
"資本準備金","15,649,750"
"利益剰余金","52,244,623"
"利益準備金","20,570,000"
"退職給与積立金","20,905,625"
"別途積立金","14,205,379"
"機械圧縮積立金","13,519,998"
"繰越利益剰余金","-16,956,379"
"(うち当期純利益)","(▲11,672,342)"
"自己株式","-6,321,000"
"純資産合計","101,573,373"
"合計","867,244,367"
"(注)(1)有形固定資産償却累計額","1,190,475,795"
