"account","金額","amount_1"
"(経常損益の部)","0","0"
"営業損益","0","0"
"売上高","904,937,072","904,937,072"
"売上原価","710,226,396","0"
"販売費及び一般管理費","198,860,874","909,087,270"
"営業利益","0","-4,150,198"
"営業外損益","0","0"
"営業外収益","0","0"
"受取配当及び利息","2,691,406","0"
"その他の収益","2,575,674","5,267,080"
"営業外費用","0","0"
"支払利息","11,783,582","0"
"割引料","72,852","11,856,434"
"経常利益","0","-10,739,552"
"(特別損益の部)","0","0"
"特別利益","0","0"
"有価証券売却益益","454,070","0"
"為替差益","21","0"
"保険解約益","5,580,400","0"
"固定資産売却益","344,970","0"
"貸倒引当金戻益","63,749","0"
"特別損失","0","0"
"やり直し分外注加工費等","4,450,000","0"
"退職金","2,176,000","0"
"税引前当期純利益","0","-10,922,342"
"法人税及び住民税額","750,000","750,000"
"当期純利益","0","-11,672,342"
