"account","総額","割合","本社・営業部","松戸・プリプレス"
"減価償却費","0","0","0","0"
"固定資産","10,671,232","実績","1,933,365","8,737,867"
"リース資産","5,945,356","〃","1,374,036","4,571,320"
"小計","16,616,588","0","3,307,401","13,309,187"
"間接経費","0","0","0","0"
"賃借料","6,604,872","実績","6,604,872","0"
"地代","4,800,000","〃","960,000","3,840,000"
"自動車管理費","1,460,073","〃","763,800","696,273"
"保険料","3,603,344","〃","3,603,344","0"
"小計","16,468,289","0","11,932,016","4,536,273"
"間接人件費","0","0","0","0"
"法定福利費","33,414,882","実績","18,003,671","15,411,211"
"福利厚生費","1,427,472","〃","707,032","720,440"
"通勤費","6,205,901","〃","4,188,803","2,017,098"
"教育研修費","21,773","〃","21,773","0"
"小計","41,070,028","0","22,921,279","18,148,749"
"合計","74,154,905","0","38,160,696","35,994,209"
