"account","総額","資本準備金","利益準備金","その他剰余金","繰越利益剰余金","自己株式","株式資本合計","純資産合計"
"前期末残高","40,000,000","15,649,750","20,570,000","66,083,127","-5,284,037","-21,200,000","98,366,715","98,366,715"
"当期変動額","0","0","0","0","0","0","0","0"
"自己株式の取得","0","0","0","0","0","-121,000","-121,000","-121,000"
"自己株式の処分","0","0","0","0","0","15,000,000","15,000,000","15,000,000"
"剰余金の積立","0","0","0","0","0","0","0","0"
"当期純利益","0","0","0","0","-11,672,342","0","-11,672,342","-11,672,342"
"当期変勤額合計","0","0","0","0","-11,672,342","14,879,000","3,206,658","3,206,658"
"当期末残高","40,000,000","15,649,750","20,570,000","66,083,127","-16,956,379","-6,321,000","101,573,373","101,573,373"
"(注)④当事業年度末日における発行済株式の数","80,000株","0","0","0","0","0","0","0"
"当事業年度末日における自己株式の数","6,321株","0","0","0","0","0","0","0"
