"種類","固定資産コード","原価区分(%)原・販・外","部門","名称","構造・細目","償却方法","数量","事業供用年月日","処分年月日","(5%相当額)","取得価額","期首帳簿価額","償却基礎金額","耐用年数","償却率","償却期間","普通償却限度額","特別償却限度額","合計","当期償却額","償却累計額","期末帳簿価額","摘要"
"","","","","","【建物】","","","","","","","","","","","","","","","","","",""
"11","0000000005","100・0・0","","店舗","","旧定率法","1.00","H4.10.31","","(2,146,268)","42,925,345","7,388,664","7,388,664","34年","0.066","12/12","487,651","","487,651","487,651","36,024,332","6,901,013",""
"11","0000000004","0・100・0","","事務所","","旧定率法","1.00","S59.6.30","","(433,350)","8,667,000","1","1","20年","0.109","12/12","0","","0","0","8,666,999","1",""
"","","","","建物","種類合計","","","","","","51,592,345","7,388,665","7,388,665","","","","487,651","0","487,651","487,651","44,691,331 44,691,331","6,901,014",""
"","","","","","","","","","","【期末資産の取得価額】","51,592,345","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】 0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","【建物附属設備】","","","","","","","","","","","","","","","","","",""
"12","0000000007","100・0・0","","電動シャッター","","250%定率法","1.00","H22.10.31","","","500,000","1","(0.250) 1","12年","0.208","12/12","0","","0","0","499,999","1",""
"","","","","建物附属設備","種類合計","","","","","","500,000","1","1","","","","0","0","0","0","499,999 499,999","1",""
"","","","","","","","","","","【期末資産の取得価額】","500,000","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】 0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","【構築物】","","","","","","","","","","","","","","","","","",""
"13","0000000009","0・100・0","","アスファルト路面","","旧定率法","1.00","H4.10.31","","(20,202)","404,039","1","1","10年","0.206","12/12","0","","0","0","404,038","1",""
"13","0000000010","0・100・0","","舗装工事","","200%定率法","1.00","H24.10.31","","","721,113","1","(0.250) 1","10年","0,200","12/12","0","","0","0","721,112","1",""
"","","","","構築物","種類合計","","","","","","1,125,152","2","2","","","","0","0","0","0","1,125,150 1,125,150","2",""
"","","","","","","","","","","【期末資産の取得価額】","1,125,152","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】 0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","【機械及び装置】","","","","","","","","","","","","","","","","","",""
"21","0000000019","100・0・0","","タイヤチェンジャー","","200%定率法","1.00","R1.12.31","","","660,000","356,392","356,392","15年","0.133","12/12","47,400","","47,400","47,400","351,008","308,992",""
"21","0000000014","100・0・0","","スチーム洗車機","","旧定率法","1.00","H1.3.31","","(19,500)","390,000","1","1","5年","0.369","12/12","0","","0","0","389,999","1",""
"21","0000000015","100・0・0","","クリーンスカイテスター","","旧定率法","1.00","H16.9.30","","(17,063)","341,250","1","1","5年","0.369","12/12","0","","0","0","341,249","1",""
"21","0000000016","100・0・0","","ATチェンジャー","","旧定率法","1.00","H16.9.30","","(24,570)","491,400","1","1","5年","0.369","12/12","0","","0","0","491,399","1",""
"21","0000000017","100・0・0","","診断機(テスター)","","200%定率法","1.00","H27.4.30","","","324,000","1","(0.500) 1","5年","0.400","12/12","0","","0","0","323,999","1",""
