"種類","固定資産コード","原価区分(%)原・販・外","部門","名 称","構造・細目","償却方法","数量","事業供用年月日","処分斧月日","(5%相当額)","取得価額","期首帳簿価額","償却基礎金額","耐用年数","償却率","償却期間","普通償却限度額","特別償却限度額","合計","当期償却額","償却累計額","期末帳簿価額","摘要"
"21","0000000018","100・0・0","","高圧温水洗浄機","","200%定率法","1.00","R2.3.31","R6.11.30","","330,000","34,452","(0.500) 34,452","5年","0.400","8/12","11,484","","11,484","11,484","307,032","0","除却"
"21","0000000013","100・0・0","","コマツ除雪機WA20-2","","200%定率法","1.00","R5.2.28","","","1,955,000","1","1","2年","1,000","12/12","0","","0","0","1,954,999","1",""
"","","","","機械及び装置","種類合計","","","","","","4,491,650","390,849","390,849","","","","58,884","0","58,884","58,884","3,852,653 4,159,685","308,997",""
"","","","","","","","","","","【期末資産の取得価額】","4,161,650","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】0","【除却時処分見込価額】 0","【除却損】 22,968","","",""
"","","","","","【車両及び運搬具】","","","","","","","","","","","","","","","","","",""
"16","0000000020","0・100・0","","スズキクロスビー","","200%定率法","1.00","R5.4.30","","","1,357,400","814,440","814,440","5年","0.400","12/12","325,776","","325,776","325,776","868,736","488,664",""
"16","0000000026","0・100・0","","スズキアルト電気自動車","","200%定率法","1.00","H26.8.31","","","1,496,800","1","(1,000) 1","4年","0,500","12/12","0","","0","0","1,496,799","1",""
"16","0000000023","0・100・0","","スズキジムニー","","旧定率法","1.00","H17.5.31","","(17,500)","350,000","1","1","3年","0.536","12/12","0","","0","0","349,999","1",""
"16","0000000025","0・100・0","","スズキキザシ","","200%定率法","1.00","H25.4.30","","","1,900,000","1","(1.000) 1","3年","0.667","12/12","0","","0","0","1,899,999","1",""
"16","0000000044","0・100・0","","ハスラーHYBRID Xターボ R6.2","(株)スズキ自販長野","200%定率法","1.00台","R7.3.1","","","1,307,000","","1,307,000","3年","0.667","1/12","72,647","","72,647","72,647","72,647","1,234,353",""
"16","0000000024","0・100・0","","日野デュトロ キャリアカー","","200%定率法","1.00","H25.8.31","","","2,769,520","1","1","2年","1,000","12/12","0","","0","0","2,769,519","1",""
"16","0000000022","0・100・0","","カワサキ ニ輪車","","200%定率法","1.00","R5.4.30","R6.11.16","","1","1","1","2年","1,000","8/12","0","","0","0","0","0","売却"
"16","0000000021","0・100・0","","アルファード","","200%定率法","1.00","R5.7.31","R6.6.19","","450,000","112,500","112,500","2年","1,000","3/12","28,125","","28,125","28,125","365,625","0","売却"
"16","0000000045","0・100・0","","シーポッドG R3年式","(株)オートサーバー","200%定率法","1.00台","R7.4.30","","","681,000","","681,000","2年","1,000","/12","","","","","0","681,000",""
"","","","","車両及び運搬具","種類合計","","","","","","10,311,721","926,945","2,914,945","","","","426,548","0","426,548","426,548","7,457,699 7,823,324","2,404,021",""
"","","","","","","","","","","【期末資産の取得価額】","9,861,720","【期中買入額】 1,988,000","【期中売却額】 0","","","","【売却損】 84,376","【売却益】0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","【器具及び備品】","","","","","","","","","","","","","","","","","",""
"18","0000000029","0・100・0","","看板","","旧定率法","1.00","H4.9.30","","(18,901)","378,010","1","1","10年","0.206","12/12","0","","0","0","378,009","",""
"18","0000000041","100・0・0","","高圧洗車機","(株)和田部品","200%定率法","1.00","R6.11.20","","","370,000","","370,000","10年","0,200","5/12","30,833","","30,833","30,833","30,833","339,167",""
"18","0000000028","0・100・0","","防犯カメラ機器設置工事(カメラ6台・ネットワークビテ)","","200%定率法","1.00","R4.9.30","","","1,375,000","738,974","738,974","6年","0.333","12/12","246,078","","246,078","246,078","882,104","492,896",""
