"種類","固定資産コード","原価区分(%)原・販・外","部門","名 称","構造・細目","償却方法","数量","事業供用年月日","処分年月日","(5%相当額)","取得価額","期首帳簿価額","償却基礎金額","耐用年数","償却率","償却期間","普通償却限度額","特別償却限度額","合計","当期償却額","償却累計額","期末帳簿価額","摘要"
"","","","","","【建物】","","","","","","","","","","","","","","","","","",""
"11","0000000001","0・100・0","","電動シャッター","","定額法","1.00","R5.12.31","","","2,422,730","2,398,503","2,422,730","34年","0.030","12/12","72,681","","72,681","72,681","96,908","2,325,822",""
"11","0000000003","0・100・0","","事務所改修工事","","定額法","1.00","R3.4.30","","","377,823","321,150","377,823","20年","0.050","12/12","18,891","","18,891","18,891","75,564","302,259",""
"11","0000000002","0・100・0","","倉庫","","定額法","1.00","H22.8.31","","","4,963,600","418,600","4,963,600","15年","0.067","12/12","332,561","","332,561","332,561","4,877,561","86,039",""
"","","","","建物","種類合計","","","","","","7,764,153","3,138,253","7,764,153","","","","424,133","0","424,133","424,133","5,050,033 5,050,033","2,714,120",""
"","","","","","","","","","","【期末資産の取得価額】","7,764,153","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","【建物附属設備】","","","","","","","","","","","","","","","","","",""
"12","0000000006","0・100・0","","電気増工事","","定額法","1.00","R3.12.31","","","288,750","243,609","288,750","15年","0.067","12/12","19,346","","19,346","19,346","64,487","224,263",""
"12","0000000008","0・100・0","","エアコン","","定額法","1.00","R3.4.30","","","435,903","335,209","435,903","13年","0.077","12/12","33,564","","33,564","33,564","134,258","301,645",""
"","","","","建物附属設備","種類合計","","","","","","724,653","578,818","724,653","","","","52,910","0","52,910","52,910","198,745 198,745","525,908",""
"","","","","","","","","","","【期末資産の取得価額】","724,653","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","【構築物】","","","","","","","","","","","","","","","","","",""
"13","0000000012","0・100・0","","砂利工事","","定額法","1.00","R2.10.31","","","484,000","370,502","484,000","15年","0.067","12/12","32,428","","32,428","32,428","145,926","338,074",""
"13","0000000011","0・100・0","","アスファルト路面 工場裏","","定額法","1.00","H29.12.31","","","486,000","178,200","486,000","10年","0.100","12/12","48,600","","48,600","48,600","356,400","129,600",""
"","","","","構築物","種類合計","","","","","","970,000","548,702","970,000","","","","81,028","0","81,028","81,028","502,326 502,326","467,674",""
"","","","","","","","","","","【期末資産の取得価額】","970,000","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","合計","","","","","","9,458,806","4,265,773","9,458,806","","","","558,071","0","558,071","558,071","5,751,104 5,751,104","3,707,702",""
