"種類","固定資産コード","原価区分(%)原・販・外","部門","名 称","構造・細目","償却方法","数量","事業供用年月日","処分年月日","(5%相当額)","取得価額","期首帳簿価額","償却基礎金額","耐用年数","償却率","償却期間","普通償却限度額","特別償却限度額","合計","当期償却額","償却累計額","期末帳簿価額","摘要"
"21","0000003140","100・0・0","000: 共通部門","キャッパー25連 キャップ振分装置付","","250%定率法","2.00","H21.7.1","","","5,691,429","1","(0.500) 569,740","7年","0.357","12/12","0","","0","0","5,691,428","1",""
"21","0000003141","100・0・0","000: 共通部門","キャップ供給装置一式","","250%定率法","1.00","H21.7.1","","","2,022,858","1","(0.500) 202,499","7年","0.357","12/12","0","","0","0","2,022,857","1",""
"21","0000003142","100・0・0","000: 共通部門","釜前自走パレタイザー一式","","250%定率法","1.00","H21.7.1","","","3,794,286","1","(0.500) 379,826","7年","0.357","12/12","0","","0","0","3,794,285","1",""
"21","0000003143","100・0・0","000: 共通部門","TSPO4デパレタイザ","","250%定率法","2.00","H21.7.1","","","4,331,429","1","(0.500) 433,597","7年","0.357","12/12","0","","0","0","4,331,428","1",""
"21","0000003144","100・0・0","000: 共通部門","HTP04パレタイザ","","250%定率法","1.00","H21.7.1","","","3,272,381","1","(0.500) 327,582","7年","0.357","12/12","0","","0","0","3,272,380","1",""
"21","0000003145","100・0・0","000: 共通部門","パレットマガジン","","250%定率法","1.00","H21.7.1","","","2,213,334","1","(0.500) 221,566","7年","0.357","12/12","0","","0","0","2,213,333","1",""
"21","0000003146","100・0・0","000: 共通部門","コンテナ振分機","","250%定率法","1.00","H21.7.1","","","711,429","1","(0.500) 71,219","7年","0.357","12/12","0","","0","0","711,428","1",""
"21","0000003147","100・0・0","000: 共通部門","パレットマガジン","","250%定率法","1.00","H21.7.1","","","2,213,334","1","(0.500) 221,566","7年","0.357","12/12","0","","0","0","2,213,333","1",""
"21","0000003148","100・0・0","000: 共通部門","SPDO4パレタイザ特仕様","","250%定率法","1.00","H21.7.1","","","3,461,905","1","(0.500) 346,554","7年","0.357","12/12","0","","0","0","3,461,904","1",""
"21","0000003149","100・0・0","000: 共通部門","THLO3ハンドフリーター積上げ機","","250%定率法","1.00","H21.7.1","","","1,739,048","1","(0.500) 174,088","7年","0.357","12/12","0","","0","0","1,739,047","1",""
"21","0000003150","100・0・0","000: 共通部門","コンテナ振分機","","250%定率法","1.00","H21.7.1","","","711,429","1","(0.500) 71,219","7年","0.357","12/12","0","","0","0","711,428","1",""
"21","0000003151","100・0・0","000: 共通部門","接種駆動式コンベアー一式","","250%定率法","1.00","H21.7.1","","","1,107,620","1","(0.500) 110,879","7年","0.357","12/12","0","","0","0","1,107,619","1",""
"21","0000003152","100・0・0","000: 共通部門","培養後駆動式コンベアー一式","","250%定率法","1.00","H21.7.1","","","460,000","1","(0.500) 46,049","7年","0.357","12/12","0","","0","0","459,999","1",""
"21","0000003153","100・0・0","000: 共通部門","詰場駆動式コンベアー一式","","250%定率法","1.00","H21.7.1","","","3,432,381","1","(0,500) 343,598","7年","0.357","12/12","0","","0","0","3,432,380","1",""
"21","0000003154","100・0・0","000: 共通部門","釜内台車","","250%定率法","96.00","H21.7.1","","","3,197,258","1","(0,500) 320,061","7年","0.357","12/12","0","","0","o","3,197,257","1",""
"21","0000003155","100・0・0","000: 共通部門","台車","","250%定率法","330.00","H21.7.1","","","5,176,286","1","(0,500) 518,171","7年","0.357","12/12","0","","0","o","5,176,285","1",""
"21","0000003156","100・0・0","000: 共通部門","キャップ用台車","","250%定率法","12.00","H21.7.1","","","1,131,220","1","(0.500) 113,242","7年","0.357","12/12","0","","0","0","1,131,219","1",""
"21","0000003157","100・0・0","000: 共通部門","ベルトコンベアー増設工事一式","","250%定率法","1.00","H21.7.1","","","9,523,810","1","(0.500) 953,379","7年","0.357","12/12","0","","0","0","9,523,809","1",""
"21","0000003158","100・0・0","000: 共通部門","ミキサーTM8000自動開閉装置付","","250%定率法","1.00","H21.7.1","R6.12.31","","2,423,160","1","(0.500) 242,571","7年","0.357","3/12","0","","0","0","2,423,159","0","除却"
"21","0000003159","100・0・0","000: 共通部門","25連5穴回転ミッション","","250%定率法H21.17.","1.00","","","","1,247,620","1","(0.500) 124,894","7年","0.357","12/12","0","","0","0","1,247,619","1",""
