"種類","固定資産コード","原価区分(%)原・販・外","部門","名 称","構造・細目","償却方法","数量","事業供用年月日","処分年月日","(5%相当額)","取得価額","期首帳簿価額","償却基礎金額","耐用年数","償却率","償却期間","普通償却限度額","特別償却限度額","合計","当期償却額","償却累計額","期末帳簿価額","摘要"
"13","0000000203","0・100・0","","湧水池工事","","旧定率法","1.00","H11.4.30","","(18,572)","371,429","3,716","3,716","15年","0.142","12/12","3,714","","3,714","3,714","371,427","2",""
"13","0000000204","0・100・0","","造園工事","","旧定率法","1.00","H13.5.31","","(7,381)","147,619","4,429","4,429","15年","0.142","12/12","1,476","","1,476","1,476","144,666","2,953",""
"13","0000000205","0・100・0","","花壇造成工事","","旧定率法","1.00","H14.5.31","","(5,500)","110,000","4,401","4,401","15年","0.142","12/12","1,099","","1,099","1,099","106,698","3,302",""
"","","","","構築物(旧定率法)","計","","","","","","1,564,048","12,548","12,548","","","","6,289","0","6,289","6,289","1,557,789 1,557,789","6,259",""
"","","","","","","","","","","【期末資産の取得価額】","1,564,048","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】 0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","【構築物(定額法)】","","","","","","","","","","","","","","","","","",""
"13","0000000206","0・100・0","","灯油タンク","","定額法","1.00","R3.12.29","","","1,650,000","1,456,538","1,650,000","15年","0.067","12/12","110,550","","110,550","110,550","304,012","1,345,988",""
"","","","","構築物(定額法)","計","","","","","","1,650,000","1,456,538","1,650,000","","","","110,550","0","110,550","110,550","304,012 304,012","1,345,988",""
"","","","","","","","","","","【期末資産の取得価額】","1,650,000","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】 0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","【機械及び装置(旧定率法)】","","","","","","","","","","","","","","","","","",""
"21","0000000301","0・100・0","","そばこね機","","旧定率法","1.00","S60.4.30","","(10,625)","212,500","1","1","9年","0.226","12/12","0","","0","0","212,499","1",""
"21","0000000302","0・100・0","","浴衣用プレス機","","旧定率法","1.00","H1.8.31","","(14,500)","290,000","1","1","7年","0,280","12/12","0","","0","0","289,999","1",""
"21","0000000305","0・100・0","","食器洗浄機","","旧定率法","1.00","H9.4.30","","(32,000)","640,000","1","1","9年","0.226","12/12","0","","0","0","639,999","1",""
"","","","","機械及び装置(旧定率法)","計","","","","","","1,142,500","3","3","","","","0","0","0","0","1,142,497 1,142,497","3",""
"","","","","","","","","","","【期末資産の取得価額】","1,142,500","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】 0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","【器具及び備品(旧定率法)】","","","","","","","","","","","","","","","","","",""
"18","0000000601","0・100・0","","そば釜","","旧定率法","1.00","S43.11.30","","(4,750)","95,000","1","1","15年","0.142","12/12","0","","0","0","94,999","1",""
"18","0000000602","0・100・0","","スキー靴キャリー シューバーSTO04","","旧定率法","1.00","S63.4.30","","(12,300)","246,000","1","1","5年","0.369","12/12","0","","0","0","245,999","1",""
"18","0000000603","0・100・0","","レジスター","","旧定率法","1.00","H1.1.31","","(10,437)","208,730","1","1","5年","0.369","12/12","0","","0","0","208,729","1",""
"18","0000000605","0・100・0","","ヤナセ 除雪機","","旧定率法","1.00","H5.12.31","","(52,685)","1,053,690","1","1","5年","0.369","12/12","0","","0","0","1,053,689","1",""
