"種類","固定資産コード","原価区分(%)原・販・外","部門","名 称","構造・細目","償却方法","数量","事業供用年月百","翠峇 月","(5%相当額)","取得価額","期首帳簿価額","償却基礎金額","耐用年数","償却率","償却期間","普通償却限度額","特別償却限度額","合計","当期償却額","償却累計額","期末帳簿価額","摘要"
"","","","","器具及び備品(旧定率法)","計","","","","","","1,603,420","4","4","","","","0","0","0","0","1,603,416 1,603,416","4",""
"","","","","","","","","","","【期末資産の取得価額】","1,603,420","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","(種類別合計)","","","","","","","","","","","","","","","","","",""
"","","","","","建物","","","","","","184,891,000","91,566,167","166,401,900","","","","4,659,253","0","4,659,253","4,659,253","97,984,086 97,984,086","86,906,914",""
"","","","","","建物附属設備","","","","","","79,664,560","1,482,126","16,490,086","","","","746,244","0","746,244","746,244","63,920,718 63,920,718","15,743,842",""
"","","","","","構築物","","","","","","3,214,048","1,469,086","1,662,548","","","","116,839","0","116,839","116,839","1,861,801 1,861,801","1,352,247",""
"","","","","","機械及び装置","","","","","","1,142,500","3","3","","","","0","0","0","0","1,142,497 1,142,497","3",""
"","","","","","器具及び備品","","","","","","1,603,420","4","4","","","","0","0","0","0","1,603,416 1,603,416","4",""
"","","","","","合計","","","","","","270,515,528","94,517,386","184,554,541","","","","5,522,336","0","5,522,336","5,522,336","166,512,518 166,512,518","104,003,010",""
"","","","","","(償却方法別合計)","","","","","","","","","","","","","","","","","",""
"","","","","","旧定率法","","","","","","68,966,568","1,494,681","1,494,681","","","","249,767","0","249,767","249,767","67,721,654 67,721,654","1,244,914",""
"","","","","","旧定額法","","","","","","184,891,000","91,566,167","166,401,900","","","","4,659,253","0","4,659,253","4,659,253","97,984,086 97,984,086","86,906,914",""
"","","","","","定額法","","","","","","16,657,960","1,456,538","16,657,960","","","","613,316","0","613,316","613,316","806,778 806,778","15,851,182",""
"","","","","","合計","","","","","","270,515,528","94,517,386","184,554,541","","","","5,522,336","0","5,522,336","5,522,336","166,512,518 166,512,518","104,003,010",""
