"資産コード","資産区分","資産名称","摘要","償却方法","数量","取得年月日","売却除却日","耐年","売却除却損益","償却率","期間","取得価額","圧縮記帳額","差引取得価額","償却基礎金額","普通償却額","割増特別償却額","増加償却額","当期償却額","償却累計額","売却価額","期首帳簿価額","期末帳簿価額"
"100007","建物","物置","","即時","1","H.30/09/30","","-","0","","-/-","137,500","0","137,500","137,500","0","0","0","0","137,500","0","0","0"
"100008","建物","工場第1期","","定額","1","H.31/01/07","","38","0","0.027","12/12","44,588,391","0","44,588,391","44,588,391","1,203,886","0","0","1,203,886","7,446,776","0","38,345,501","37,141,615"
"100009","建物","工場第2期","","定額","1","R.01/07/20","","38","0","0.027","12/12","19,273,383","0","19,273,383","19,273,383","520,381","0","0","520,381","2,992,191","0","16,801,573","16,281,192"
"100010","建物","ガレージGRN-2142H","フォークリフト用イナバガレージハイルーフ豪雪地用","定額","1","R.03/06/21","","19","o","0.053","12/12","972,728","0","972,728","972,728","51,554","0","0","51,554","197,624","0","826,658","775,104"
"150001","建物附属設備","下水道工事","","旧定率","1","H.15/08/31","","15","0","0.142","12/12","1,045,239","0","1,045,239","70,037","9,945","0","0","9,945","985,147","0","70,037","60,092"
"150002","建物附属設備","ダムウェーター工事","","定額","1","H.31/01/07","","17","0","0.059","12/12","1,131,583","0","1,131,583","1,131,583","66,763","0","0","66,763","417,268","0","781,078","714,315"
"150003","建物附属設備","電気設備工事第1期","","定額","1","H.31/01/07","","15","0","0.067","12/12","5,987,212","0","5,987,212","5,987,212","401,143","0","0","401,143","2,507,143","0","3,881,212","3,480,069"
"150004","建物附属設備","給排水設備第1期","","定額","1","H.31/01/07","","15","0","0.067","12/12","4,989,345","0","4,989,345","4,989,345","334,286","0","0","334,286","2,089,287","0","3,234,344","2,900,058"
"150005","建物附属設備","外構工事","","定額","1","R.01/07/20","","15","0","0.067","12/12","5,052,480","0","5,052,480","5,052,480","338,516","0","0","338,516","1,946,467","0","3,444,529","3,106,013"
"150006","建物附属設備","パネルサイン","社名入り看板","定額","1","H.31/03/28","","10","0","0.100","12/12","165,000","0","165,000","165,000","16,500","0","0","16,500","100,375","0","81,125","64,625"
"150007","建物附属設備","電気設備工事第2期","","定額","1","R.01/07/20","","15","0","0.067","12/12","3,118,815","0","3,118,815","3,118,815","208,960","0","0","208,960","1,201,520","0","2,126,255","1,917,295"
"150008","建物附属設備","給排水設備第2期","","定額","1","R.01/07/20","","15","0","0.067","12/12","1,697,081","0","1,697,081","1,697,081","113,704","0","0","113,704","653,798","0","1,156,987","1,043,283"
"150009","建物附属設備","屋内床塗装工事","","定額","1","R.01/07/20","","22","0","0.046","12/12","930,258","0","930,258","930,258","42,791","0","0","42,791","246,048","0","727,001","684,210"
