"資産コード","資産区分","資産名称","摘要","償却方法","数量","取得年月日","売却除却日","耐年","売却除却損益","債却率","期間","取得価額","圧縮記帳額","差引取得価額","償却基礎金額","普通償却額","割増特別償却額","増加償却額","当期償却額","償却累計額","売却価額","期首帳簿価額","期末帳簿価額"
"150010","建物附属設備","ビニールカーテン取付工事(可動式)","2ケ所","定額","1","R.04/12/19","","3","0","0.334","12/12","583,380","0","583,380","583,380","194,848","0","0","194,848","454,645","0","323,583","128,735"
"300001","機械装置","ダクトカッターDC-100","プラスチック切断用","即時","1","R.04/07/29","","-","0","","-/-","158,000","0","158,000","158,000","0","0","0","0","158,000","0","0","0"
"400003","車両運搬具","日産バネット長野400せ1699","","旧定率","1","H.16/09/18","","5","0","0.369","00/12","1,758,321","0","1,758,321","1","0","0","0","0","1,758,320","0","1","1"
"400005","車両運搬具","アルファード長野300ほ3053","","250%定率","1","H.22/09/24","","6","0","0.417","00/12","4,065,724","0","4,065,724","1","0","0","0","0","4,065,723","0","1","1"
"400007","車両運搬具","キャラバン長野400つ768","","200%定率","1","H.30/05/30","","6","0","0.333","12/12","2,994,769","0","2,994,769","204,979","204,978","0","0","204,978","2,994,768","0","204,979","1"
"400008","車両運搬具","日野デュトロTKG-XZU655M長野100せ1630","2tトラック平リフト付H26.10月車","200%定率","1","R.03/01/25","","2","0","1.000","00/12","1,409,230","0","1,409,230","1","0","0","0","0","1,409,229","0","1","1"
"400009","車両運搬具","N-B0X長野583き1795中古","社長から買取","200%定率","1","R.04/10/24","","2","0","1.000","00/12","1,363,637","0","1,363,637","1","0","0","0","0","1,363,636","0","1","1"
"400010","車両運搬具","トヨタタウンエースバン","R2年式","200%定率","1","R.07/03/12","","2","0","1.000","00/12","1,167,700","0","1,167,700","1,167,700","97,308","0","0","97,308","97,308","0","0","1,070,392"
"500012","器具備品","ホットマーカー","2/28購入償却は4/1~","200%定率","1","H.29/04/01","","5","0","0.400","00/12","830,000","0","830,000","1","0","0","0","0","829,999","0","1","1"
"500014","器具備品","東芝dynabook PAZ65FG-BEL-K 1台目","","即時","1","H.31/03/18","","-","0","","-/-","140,800","0","140,800","140,800","0","0","0","0","140,800","0","0","0"
"500015","器具備品","東芝dynabook PAZ65FG-BEL-K 2台目","","即時","1","H.31/03/18","","-","0","","-/-","140,800","0","140,800","140,800","0","0","0","0","140,800","0","0","0"
"500016","器具備品","NECVersaProVX PC-VK25中古","","即時","1","H.31/03/18","","-","0","","-/-","114,778","0","114,778","114,778","0","0","0","0","114,778","0","0","0"
"500017","器具備品","CANONプリンター PROGRAF TM305","大判プリンター","即時","1","R.02/12/16","R.06/12/24","-","0","","-/-","266,661","0","266,661","266,661","0","0","0","0","266,661","0","0","0"
