"物件名称","数量","償却","方法","取得","使用","耐用年数","償却率","期間","取得価額","期首帳簿価額","当期増減額","普通償却額","特別(割増)","償却額","当期減損損失額類","当期償却額","当期償却限度額","期末帳簿価額","(減損損失累計額)","償却累計額","備考"
"【建物(定額)】","","","","","","","","","","",":","","","","","","","","",""
"19-00 鉄骨造り(中古倉庫)改造費","1","","旧定額","H10.5","H10.5","35","0.029","12","12,611,793","4,286,133","","329,167","","","","329,167","329,167","3,956,988","","8,654,827",""
"20-00 木造(中古事務所)改造費","1","","旧定額","H10.5","H10.5","26","0.039","12","6,863,022","760,429","","240,892","","","","240,892","240,892","519,537","","6,343,485",""
"52-00 鉄骨造り(中古倉庫)改造費","1","","定類","H21.6","H21.6","35","0.029","12","1,523,810","894,103","","44,190","","","","44,190","44,190","849,913","","673,897",""
"※資産計※建物(定額)","","","","","","","","","20,998,625","5,940,665","","614,249","","","","614,249","614,249","5,326,416","","15,672,209",""
"【建物(定率)】","","","","","","","","","","","","","","","","","","","","",""
"1-00 木造(中古事務所)","1","","旧定率","H10.3","H10.3","26","0.085","12","2,064,991","214,582","","18,239","","","","18,239","18,239","196,343","","1,868,648",""
"2-00 鉄骨造り(中古倉庫)","1","","旧定率","H10.3","H10.3","19","12/60","12","4,295,181","214,760","","42,951","","","","42,951","42,951","171,809","","4,123,372","償却基礎 214,759"
"※資産計※ 建物(定率)","","","","","","","","","6,360,172","429,342","","61,190","","","","61,190","61,190","368,152","","5,992,020",""
"※建物計※","","","","","","","","","27,358,797","6,370,007","","675,439","","","","675,439","675,439","5,694,568","","21,664,229",""
"【建物付属設備(定率)】","","","","","","","","","","","","","","","","","","","","",""
"12-00 屋内電気設備(事務所)","1","","旧定率","H10.5","H10.5","15","12/60","1","559,278","4","","3","","","","3","3","1","","559,277","償却完了 償却基礎 27,963"
"13-00 屋内給排水設備(事務所)","1","","旧定率","H10.5","H10.5","15","12/60","1","1,331,167","4","","3","","","","3","3","1","","1,331,166","償却完了 償却基礎 66,558"
"15-00 屋内給水設備(倉庫)","1","","旧定率","H10.5","H10.5","15","12/60","","1,017,605","1","","","","","","","","1","","1,017,604","償却済"
"17-00 屋内動力配線工事(工場)","1","","旧定率","H10.6","H10.6","15","12/60","1","1,142,858","3","","2","","","","2","2","1","","1,142,857","償却完了 償却基礎 57,142"
"18-00 壁面改造(倉庫)","1","","旧定率","H11.8","H11.8","18","12/60","12","240,000","12,000","","2,399","","","","2,399","2,399","9,601","","230,399","償却基礎 11,999"
"53-00 電気配線増設(倉庫)","1","","H19定率","H21.7 ","H21.7","15","0.200","","380,953","1","","","","","","","","1","","380,952","償却済"
"※資産計※ 建物付属設備(定率)","","","","","","","","","4,671,861","12,013","","2,407","","","","2,407","2,407","9,606","","4,662,255",""
"【構築物(定率)】","","","","","","","","","","","","","","","","","","","","",""
"8-00 土間コンクリート(倉庫)","1","","旧定率","H10.5","H10.5","15","12/60","1","3,444,569","4","","3","","","","3","3","1","","3,444,568","償却完了 償却基礎 172,228"
