"物件名称","数量","償却","方法","取得","使用","耐用年数","償却率","期間","取得価額","期首帳簿価額","当期増減額","普通償却額","特別(割増)","償却額","当期減損損失額","当期償却額","当期償却限度額","期末帳簿価額","(減損損失累計額)","償却累計額","備考"
"60-00 トヨタリーチフォークリフト7FBR15","1","","H19定率","H23.8","H23.8","4","1.000","","1,960,000","1","","","","","","","","1","","1,959,999","償却済"
"69-00 スクラムバン480さ6638","1","","定率","H25.9","H25.9","4","1.000","","968,210","1","","","","","","","","1","","968,209","償却済"
"73-00 ボンゴ1t(400ち5225)","1","","定率","H28.5","H28.5","5","0.500","","1,732,167","1","","","","","","","","1","","1,732,166","償却済"
"74-00 CX-3乗用車(330る5140)","1","","定率","H29.1","H29.1","6","0.334","","2,725,639","1","","","","","","","","1","","2,725,638","償却済"
"※資産計※ 車両運搬具","","","","","","","","","10,479,921","6","","","","","","","","5","","10,479,916",""
"【器具及び備品】","","","","","","","","","","","","","","","","","","","","",""
"22-00 木製看板","1","","旧定率","H10.6","H10.6","10","12/60","","270,000","1","","","","","","","","1","","269,999","償却済"
"82-00 エプソンプリンターLX-10000F","1","","定率","R3.3","R3.3","5","0.400","12","842,000","242,496","","96,998","","","","96,998","96,998","145,498","","696,502",""
"※資産計※　器具及び備品","","","","","","","","","1,112,000","242,497","","96,998","","","","96,998","96,998","145,499","","966,501",""
"【リース資産(有形)】","","","","","","","","","","","","","","","","","","","","",""
"76-00 NTTビジネスホンaN1","1","","リース定額","H30.4","H30.4","","12/83","12","1,428,000","309,691","","206,457","","","","206,457","206,457","103,234","","1,324,766",""
"79-00 東芝複合機e-STUDI02515AC","1","","リース定額","R2.2","R2.2","","12/72","12","849,600","342,200","","141,600","","","","141,600","141,600","200,660","","649,000",""
"※資産計※　リース資産(有形)","","","","","","","","","2,277,600","661,691","","348,057","","","","348,057","348,057","309,834","","1,973,766",""
"※合計※","","","","","","","","","82,226,758","7,777,260","1,700,000","1,306,943","","","","1,306,943","1,306,943","8,170,317","","74,056,441",""
