"物件名称","数量","償却","方法","取得","使用","耐用年数","償却率","期間","取得価額","期首帳簿価額","当期増減額","普通償却額","特別(割増)","償却額","当期減損損失額","当期償却額","当期償却限度額","期末帳簿価額","(減損損失果計額)","償却累計額","備考"
"9-00 コンクリート造り(駐車場)","1","","旧定率","H10.5","H10.5","15","12/60","12","616,460","6,167","✓","6,164","","","","6,164","6,164","3","","616,457","償却基礎 30,822"
"※資産計※ 構築物(定率)","","","","","","","","","4,061,029","40,616","","40,609","","","","40,609","40,609","7","","4,061,022",""
"【機械装置】","","","","","","","","","","","","","","","","","","","","",""
"6-00 紙折機","1","","旧定率","H7.6","H7.6","12","12/60","","1,545,000","1","","","","","","","","1","","1,544,999","償却済"
"7-00 裁断機(NCW-137HHH.NCD-6)","1","","旧定率","H7.7","H7.7","12","12/60","","6,829,000","1","","","","","","","","1","","6,828,999","償却済"
"23-00 排紙スタッカー","1","","旧定率","H10.5","H10.5","12","12/60","","7,050,000","1","","","","","","","","1","","7,049,999","償却済"
"24-00 パレットフィルム包装機","1","","旧定率","H10.5","H10.5","12","12/60","","1,440,324","1","","","","","","","","1","","1,440,323","償却済"
"25-00 紙折機(ムルマルチ350)","1","","旧定率","H10.5","H10.5","12","12/60","","909,676","1","","","","","","","","1","","909,675","償却済"
"40-00 自動貼付機(両面テープ)","1","","旧定率","H16.2","H16.2","12","12/60","12","600,000","12,003","✓","5,999","","","","5,999","5,999","6,004","","593,996","償却基礎 29,999"
"46-00 型抜裁断機エキセン(中古)","1","","旧定率","H19.1","H19.1","9","12/60","12","1,470,000","14,704","✓","14,699","","","","14,699","14,699","5","","1,469,995","償却基礎 73,499"
"50-00 ウエツ自動紐結束機(ECS-45型)","1","","H19定率","H20.4","H20.4","12","0.250","","490,000","1","","","","","","","","1","","489,999","償却済"
"56-00 断裁機 (NCW116HHD7)","1","","H19定率","H22.3","H22.3","12","0.250","","7,700,000","1","","","","","","","","1","","7,699,999","償却済"
"65-00 折機ロール(正栄機械)","1","","定率","H24.9","H24.9","12","0.200","12","376,550","41,920","✓","20,959","","","","20,959","20,959","20,961","","355,589","改定価額 104,797"
"66-00 自動貼付機(FT-1000N)","1","","定率","H25.8","H25.8","12","0.200","12","550,000","72,480","✓","36,239","","","","36,239","36,239","36,241","","513,759","改定価額 181,197"
"80-00 A倍紙揃機エアー抜き(中古)","1","","定率","R2.6","R2.6","5","0.400","12","300,000","97,200","✓","38,880","","","","38,880","38,880","58,320","","241,680",""
"81-00 折機ローラー","6","","定率","R2.11","R2.11","12","0.167","12","635,000","455,343","✓","76,042","","","","76,042","76,042","379,301","","255,699",""
"83-00 横型プレススタッカーA2型(中古)","1","","定率","R4.9","R4.9","2","1.000","12","670,000","","✓ 670,000","669,999","","","","669,999","669,999","1","","669,999","償却完了"
"※資産計※ 機械装置","","","","","","","","","30,565,550","693,657","670,000","862,817","","","","862,817","862,817","500,840","","30,064,710",""
"【車両運搬具】","","","","","","","","","","","","","","","","","","","","",""
"59-00 タイタン3t 400た2207","1","","H19定率","H23.7","H23.7","5","1.000","","3,093,905","1","","","","","","","","1","","3,093,904","償却済"
"60-00 トヨタリーチフォークリフト7FBR15","1","","HI9定率","H23.8","H23.8","4","1.000","","1,960,000","1","","","","","","","","1","","1,959,999","償却済"
