"資産コード 償却方法 数量","資産名","構造","細且","耐年 償率","事業供用目","償却月数","取得価額","期首過不足額","期首帳簿価額","期中増加額","期中減少額","普(増)償却(限度)","特(割)償却(限度)","当期償却限度額","当期償却額","当期超過額","当期認容額","繰越過不足額","期末帳簿価額","摘要","償却累計額"
"11001 定額 1","事務所","","","7 0.143","平30.9.28","12","3,758,232","","1,115,883","","","537,427","","537,427","537,427","","","","578,456","","3,179,776"
"","期中 除却・売却資産 以外 計","","","","","","3,758,232","","1,115,883","","","537,427","","537,427","537,427","","","","578,456","","3,179,776"
"","期中 除却の売却資産 計","","","","","","","","0","","","","","","0","","","","0","",""
"11","※※※建物 計※※※","","","","","","3,758,232","","1,115,883","","","537,427","","537,427","537,427","","","","578,456","","3,179,776"
"","","","","","","","","取得価額(営業外)","","取得価額(原価)","","取得価額(販管)","3,758,232","営業外費用計","","製造原価計","","販管費計","537,427","",""
"51001 20率 1","ホンダNBOX","","","2","令2.4.27","","1,337,853","","1","","","","","","0","","","","1","償却済","1,337,852"
"","期中 除却・売却資産 以外 計","","","","","","1,337,853","","1","","","","","","0","","","","1","","1,337,852"
"","期中 除却・売却資産 計","","","","","","","","0","","","","","","0","","","","0","",""
"51","※※※車両及び運搬具 計※※※","","","","","","1,337,853","","1","","","","","","0",".","","","1","","1,337,852"
"","","","","","","","","取得価額(営業外)","","取得価額(原価)","","取得価額(販管)","1,337,853","営業外費用計","","製造原価計","","販管費計","","",""
"65001 20率 1","テレビ","","","5 0.400","令3.1.29","12","324,430","","89,543","","","35,817","","35,817","35,817","","","","53,726","","270,704"
"","期中 除却・売却資産 以外 計","","","","","","324,430","","89,543","","","35,817","","35,817","35,817","","","","53,726","","270,704"
"","期中 除却・売却資産 計","","","","","","","","0","","","","","","0","","","","0","",""
"65","※※※器具及び備品 計※※※","","","","","","324,430","","89,543","","","35,817","","35,817","35,817","","","","53,726","","270,704"
"","","","","","","","","取得価額(営業外)","","取得価額(原価)","","取得価額(販管)","324,430","営業外費用計","","製造原価計","","販管費計","35,817","",""
"","期中 除却・売却資産 以外 計","","","","","","5,420,515","","1,205,427","","","573,244","","573,244","573,244","","","","632,183","","4,788,332"
"","期中 除却・売却資産 計","","","","","","","","0","","","","","","0","","","","0","",""
