"物件名称","数量","償却","方法","取得","使用","耐用年数","償却率","期間","取得価額","期首帳簿価額","当期増減額","普通償却額","特別(割増)","償却却額","当期減損損失額","当期償却額","当期償却限度額","期末帳簿価額","(減損損失累計額)","償却累計額","備考"
"【土地】","","","","","","","","","","","","","","","","","","","","",""
"29-00 石渡土地","1","","非償","R3.6","","","","","52,000,000","52,000,000","","","","","","","","52,000,000","","",""
"※資産計※ 土地","","","","","","","","","52,000,000","52,000,000","","","","","","","","52,000,000","","",""
"【建物(定額)】","","","","","","","","","","","","","","","","","","","","",""
"30-00 石渡 鍛骨造鉄板葺2階建","1","","定額","R3.6","R3.6","6","0.167","12","5,000,000","2,982,084","","835,000","","","","835,000","835,000","2,147,084","","2,852,916",""
"※資産計※ 建物(定額)","","","","","","","","","5,000,000","2,982,084","","835,000","","","","835,000","835,000","2,147,084","","2,852,916",""
"【建物付属設備(定額)】","","","","","","","","","","","","","","","","","","","","",""
"33-00 ブックジャパン屋根改修工事","1","","定額","R3.8","R3.8","6","0.167","12","3,949,000","2,465,164","","659,483","","","","659,483","659,483","1,805.681","","2,143,319",""
"※資産計※ 建物付属設備(定額)","","","","","","","","","3,949,000","2,465,164","","659,483","","","","659,483","659,483","1,805,681","","2,143,319",""
"【構築物】","","","","","","","","","","","","","","","","","","","","",""
"2-00 目隠しフェンス設置工事","1","","H19定率","H23.9","H23.9","10","0.334","","219,870","1","","","","","","","","1","","219,869","償却済"
"※資産計※ 構築物","","","","","","","","","219,870","1","","","","","","","","1","","219,869",""
"【車両運搬具】","","","","","","","","","","","","","","","","","","","","",""
"4-00 三菱ミニキャブトラック(H16年式)480く813","1","","H19定率","H23.5","H23.5","2","1.000","","163,961","1","","","","","","","","1","","163,960","償却済"
"14-00 自転車","1","","定率","H29.8","H29.8","2","1.000","","352,000","1","","","","","","","","1","","351,999","償却済"
"22-00 ホンダN-VAN","1","","定率","H30.12","H30.12","4","1.000","","▲1,993,657 1,993,657","1","▲1","","","","","","","","","","売却 R5/11"
"25-00 アウディA4AVR1","1","","定率","R2.4","R2.4","6","0.334","12","6,166,650","1,723,262","","575,569","","","","575,569","575,569","1,147.693","","5,018,957","改定価額 1,723,262"
"24-00 中古軽トラ","1","","定率","R2.4","R2.4","2","1.000","","150,000","1","","","","","","","","1","","149,999","償却済"
"31-00 日野トラックフード取付","1","","定率","R3.1","R3.1","7","0.286","12","251,844","97,791","","27,968","","","","27,968","27,968","69,823","","182,021",""
