"物件名称","数量","償却","方法","取得","使用","耐用年数","償却率","期間","取得価額","期首帳簿価額","当期増減額","普通償却額","特別(割増)","償却額","当期減損損失額","当期債却額","当期債却限度額","期未帳簿価額","(減損損失累計額)","償却累計額","備考"
"42-00 ポルシェ マカン 375や8008","1","","定率","R5.7","R5.7","6","0.333","12","14,257,680","12,675.078","","4,220,800","","","","4,220,800","4,220,800","8,454,278","","5,803,402",""
"44-00 H30年式 トヨタシエンタ549ろ358","1","","定率","R5.10","R5.10","2","1.000","12","1,553,700","1,424.225","","1,424,224","","","","1,424,224","1,424,224","1","","1,553,699","償却完了"
"46-00 中古アバルト595C(2022年式)502さ6804","1","","定率","R6.1","R6.1","4","0.500","10","2,873,500","","2,873,500","1,197,291","","","","1,197,291","1,197,291","1,676.209","","1,197,291",""
"※資産計※ 車両運搬具","","","","","","","","","▲1,993,657 27,762,992","15,920,360","▲1 2,873,500","7,445,852","","","","7,445,852","7,445,852","11,348,007","","14,421,328",""
"【器具及び備品】","","","","","","","","","","","","","","","","","","","","",""
"5-00 東芝パソコン DynaBook","1","","H19定率","H23.5","H23.5","2","1.000","","10,636","1","","","","","","","","1","","10,635","償却済"
"12-00 エアコン","1","","定率","H28.7","H28.7","6","0.334","12","452,619","43,342","","43,341","","","","43,341","43,341","1","","452,618","償却完了 改定価額 130,546"
"13-00 サウンドシステムアンプ","1","","定率","H28.12","H28.12","5","0.500","","260,675","1","","","","","","","","1","","260,674","償却済"
"17-00 糖度センサー (有)クロイワ","1","","定率","H29.11","H29.11","5","0.500","12","820,152","100,605","","100,604","","","","100,604","100,604","1","","820,151","償却完了 改定価額 201,209"
"23-00 設備改修工事 桐原","1","","定率","R2.4","R2.4","6","0.334","12","298,000","83,277","","27,814","","","","27,814","27,814","55,463","","242,537","改定価額 83,277"
"41-00 ゴルフ道具一式 桐原","1","","定率","R4.4","R4.4","3","0.667","12","369,500","75,170","","50,138","","","","50,138","50,138","25,032","","344,468",""
"37-00 パソコン一式","1","","定率","R4.5","R4.5","4","0.500","12","283,888","106,458","","53,229","","","","53,229","53,229","53,229","","230,659",""
"43-00 防犯カメラ セコム","1","","少額","R5.3","R5.3","5","","","100,000","","","","","","","","","","","","措法67の5"
"※資産計※ 器具及び備品","","","","","","","","","2,595,470","408.854","","275,126","","","","275,126","275,126","138,728","","2,361,742",""
"【無形固定資産】","","","","","","","","","","","","","","","","","","","","",""
"35-00 ホームページ作成","1","","定額","R2.12","R2.12","5","0.200","12","847,000","352,917","","169,400","","","","169,400","169,400","183,517","","663,483",""
"※資産計※ 無形固定資産","","","","","","","","","847,000","352,917","","169,400","","","","169,400","169,400","183,517","","663,483",""
"【リース資産(有形)】","","","","","","","","","","","","","","","","","","","","",""
"34-00 日野デュトロトラック 100せ1516","1","","リース定額","R2.11","R2.11","","12/84","12","6,486,480","3,706,560","","926,640","","","","926,640","926,640","2,779,920","","3,706,560",""
"※資産計※ リース資産(有形)","","","","","","","","","6,486,480","3,706,560","","926,640","","","","926,640","926,640","2,779,920","","3,706,560",""
