"物件名称","取得年月日","使用年月日","数量","取得価額","期首帳簿価額","当期増加額","当期損金算入","限度額","当期損金算入額","期末帳簿価額","損金算入累計額","備考"
"【令3年11月～令4年10月】","","","","","","","","","","","",""
"36-00 ノートパソコン","R04/02/05","R04/02/05","1","176,308","","","","","","","",""
"38-00 椅子","R04/04/10","R04/04/10","1","141,799","","","","","","","",""
"39-00 テレビ42-45インチ","R04/04/06","R04/04/06","1","127,000","","","","","","","",""
"40-00 バースピーカー","R04/03/10","R04/03/10","1","195,000","","","","","","","",""
"※年度計※","","","","640,107","213,369","","","213,369","213,369","","640,107","償却完了"
"【令5年11月～令6年10月】","","","","","","","","","","","",""
"45-00 セコム 監視カメラシステム 桐原","R05/11/24","R05/11/24","1","155,485","","","","","","","",""
"※年度計※","","","","155,485","","155,485","","51,828","51,828","103,657","51,828",""
"※合計※","","","","795,592","213,369","155,485","","265,197","265,107","103,657","691,935",""
