"管理番号","資産の名前","数量","面積","取得日","事業供用開始日","取得価額","償却の基礎となる金額","償却方法","耐用年数","償却率","当期償却期間","普通償却額","特別(割増)償却額","当期減価償却費合計","期末残高","償却累計額","備考"
"附属設備","","","","","","","","","","","","","","","","",""
"","ガス工事","","1","2024-03-25","2024-03-25","391,600","391,600","定額法","15","0.067","12","26,237","0","26,237","339,126","52,474","ー"
"","内装工事","","1","2024-03-25","2024-03-25","4,691,800","4,691,800","定額法","15","0.067","12","314,350","0","314,350","4,063,100","628,700","ー"
"※資産計※附属設備","","","","","","5,083,400","5,083,400","","","","","340,587","0","340,587","4,402,226","681,174","ー"
"工具器具備品","","","","","","","","","","","","","","","","",""
"","給湯専用機取付け工事","","1","2024-03-04","2024-03-04","193,000","193,000","定額法","6","0.167","12","32,231","0","32,231","128,538","64,462","ー"
"","食器洗浄機","","1","2024-03-16","2024-03-16","671,000","671,000","定額法","5","0.2","12","134,200","0","134,200","402,600","268,400","ー"
"","冷凍冷蔵庫","","1","2024-03-16","2024-03-16","275,000","275,000","定額法","6","0.167","12","45,925","0","45,925","183,150","91,850","ー"
"","製氷機","","1","2024-03-16","2024-03-16","165,000","165,000","定額法","6","0.167","12","27,555","0","27,555","109,890","55,110","ー"
"","冷蔵ショーケース","","1","2024-03-16","2024-03-16","136,400","136,400","定額法","6","0.167","12","22,778","0","22,778","90,844","45,556","ー"
"","お好み焼きテーブル","","1","2024-03-25","2024-03-25","560,000","560,000","定額法","5","0.2","12","112,000","0","112,000","336,000","224,000","ー"
"※資産計※工具器具備品","","","","","","2,000,400","2,000,400","","","","","374,689","0","374,689","1,251,022","749,378",""
"創立費","","","","","","","","","","","","","","","","",""
"","創立費","","1","2023-11-14","2023-11-14","75,731","75,731","任意償却","","","12","0","0","0","75,731","0","ー"
"※資産計※創立費","","","","","","75,731","75,731","","","","","0","0","0","75,731","0",""
"開業費","","","","","","","","","","","","","","","","",""
"","開業費","","1","2023-11-14","2023-11-14","43,818","43,818","任慈償却","","","12","0","0","0","43,818","0","ー"
"※資産計※開業費","","","","","","43,818","43,818","","","","","0","0","0","43,818","0",""
"合計","","","","","","7,203,349","7,203,349","","","","","715,276","0","715,276","5,772,797","1,430,552",""
