"科目・品目","減価償却資産の名称","数量","供用年月","耐用年数","償却率","取得価額","圧縮後取得価額","期首帳簿価額","償却基礎・改定額","当期増加金額","当期減少金額","償却月数","普通償却限度額","特別償却限度額","普通償却過不足","特別償却過不足","普通償却額","特別償却額","当期償却額","期末帳簿価額","期末償却累計額","摘要"
"80-00009","エアコン2台","2","令和04.02","6","0.333","561000","","311886","311886","","","12","103858","","","","103858","","103858","208028","352972",""
"","*科目小計* TOTAL 7","","","","","2641764","2641764 ","607787","667221","","","","195854","","","","195854","","195854","411333","2229831",""
"科目90","【無形固定資産】","","","","","","","","","","","","","","","","","","","","",""
"90-00001","温泉利用権","1","","20","0.050","19337626","","","19337626","","","12","","","","","","","","","19337526","A 旧定額法"
"00002","ホームページ","1","令和04.05","5","0.200","1067000","","853600","1067000","","","12","213400","","","","213400","","213400","640200","426800","定額法"
"","*科目小計* TOTAL 2","","","","","20404626","20404626","853600","20404626","","","","213400","","","","213400","","213400","640200","19764426",""
"科目225","【果樹等】","","","","","","","","","","","","","","","","","","","","",""
"225-00001","ブドウ 250本","1","令和05.05","6","0.167","856800","","856800","856800","","","12","143085","","143085","","","","","856800","","J 生物"
"00002","ブドウ 2024.7期 資本額額","1","令和06.07","6","0.167","382000","","","382000","382000","","1","5316","","5316","","","","","382000","","CJ 生物"
"","*科目小計* TOTAL 2","","","","","1238800","1238800","856800","1238800","382000","","","148401","","148401","","","","","1238800","",""
"","**総合計** TOTAL 69","","","","","147778735","138219645","38463729","71691573","3434500","","","4402435","1443750","148401 ","915750","4254034","528000","4782034","37116195","101103450",""
"","【少額特例資産(消耗品費等)】","","","","","","","","","","","","","","","","","","","","",""
"82-00008","芝刈り機","1","令和06.04","","","108321","","","108321","108321","","","108321","","","","108321","","108321","","108321","AC"
"00009","ハイゼットトラック中古","1","令和05.09","","","161000","","","161000","161000","","","161000","","","","161000","","161000","","161000","AC"
"","*少額特例消耗品 当期取得計* TOTAL 2","","","","","269321","269321","","269321","269321","","","269321","","","","269321","","269321","","269321",""
