"資産コード 勘定 償却方法","資産名 資産区分","場所","数量","増加事由","減少事由","事業供用日","増加日","減少日","取得価額","圧縮積立金","期首帳簿価額","残存価額","期中減少額","期中増加額","償却可能限度/保証","期首償却過不足","償却基礎額","耐用年数","償却率","償却月数","算出償却額","増加償却額","当期償却限度額","割増償却額","特別償却額","当期償却額","積立金取崩額","期末積立金額","期末帳簿価額","繰越超過額","繰越不足額","償却累計額","営業外費用","製造原価","販管費"
"0100310011 建物 旧定率(均)","鉄骨造5mm倉庫 所有資産","小布施町","1","","","昭43.12.31","","","4,968,080","","149,044","496,808","","","1","","248,404","31","0,072","12","49,680","","49,680","","","49,680","","","99,364","","","4,868,716","","","49,680"
"0100310031 建物 旧定率(均)","倉庫二階改造 所有資産","小布施町","1","","","昭47.3.31","","","42,250","","2,113","4,225","","","1","","2,113","31","0,072","12","422","","422","","","422","","","1,691","","","40,559","","","422"
"0100340041 建物 旧定率法","店舗 所有資産","小布施町","1","","","昭53.2.28","","","55,279,987","","5,353,714","5,527,998","","","2,763,999","","5,353,714","34","0.066","12","353,345","","353,345","","","353,345","","","5,000,369","","","50,279,618","","","353,345"
"0100310051 建物 旧定率法","倉庫外装 所有資産","小布施町","1","","","昭53.11.30","","","1,375,000","","106,272","137,500","","","68,750","","106,272","31","0,072","12","7,651","","7,651","","","7,651","","","98,621","","","1,276,379","","","7,651"
"0100310061 建物 旧定率法","倉庫二階改修工事 所有資産","小布施町","1","","","昭62.3.31","","","2,701,068","","338,985","270,107","","","135,054","","338,985","31","0.072","12","24,406","","24,406","","","24,406","","","314,579","","","2,386,489","","","24,406"
"0100310071 建物 旧定率法","倉庫塗装工事 所有資産","小布施町","1","","","昭62.8.31","","","164,708","","21,262","16,471","","","8,236","","21,262","31","0,072","12","1,530","","1,530","","","1,530","","","19,732","","","144,976","","","1,530"
"0100340081 建物 旧定率法","店舗自動扉取付 所有資産","小布施町","1","","","平4.4.30","","","332,000","","68,691","33,200","","","16,600","","68,691","34","0,066","12","4,533","","4,533","","","4,533","","","64,158","","","267,842","","","4,533"
"0100310091 建物 旧定率法","鉄骨造倉庫 所有資産","小布施町","1","","","平5.1.31","","","14,121,359","","2,606,572","1,412,135","","","706,067","","2,606,572","31","0.072","12","187,673","","187,673","","","187,673","","","2,418,899","","","11,702,460","","","187,673"
"0100340101 建物 旧定率法","店舗改修工事 所有資産","小布施町","1","","","平7.10.31","","","2,582,683","","653,814","258,268","","","129,134","","653,814","34","0,066","12","43,151","","43,151","","","43,151","","","610,663","","","1,972,020","","","43,151"
"0100310111 建物 旧定率法","倉庫入口電動シャッター改良 所有資産","小布施町","1","","","平7.12.7","","","291,263","","65,215","29,126","","","14,563","","65,215","31","0,072","12","4,695","","4,695","","","4,695","","","60,520","","","230,743","","","4,695"
"0100310121 建物 旧定率法","倉庫屋根改修工事 所有資産","小布施町","1","","","平9.10.30","","","1,398,900","","338,223","139,890","","","69,945","","338,223","31","0,072","12","24,352","","24,352","","","24,352","","","313,871","","","1,085,029","","","24,352"
"0100310141 建物 旧定額法","倉庫災害復旧工事 所有資産","小布施町","1","","","平11.5.10","","","19,841,949","14,949,841","2,131,503","489,210","","","244,605","","4,402,898","31","0,033","12","145,295","","145,295","","","145,295","","","1,986,208","","","17,855,741","","","145,295"
"0100340131 建物 旧定率法","店舗改修 所有資産","小布施町","1","","","平12.4.30","","","5,198,110","","1,420,487","519,811","","","259,905","","1,420,487","34","0.066","12","93,752","","93,752","","","93,752","","","1,326,735","","","3,871,375","","","93,752"
"0100340141 建物 定額法","店舗シャッターモーター交換工事 所有資産","小布施町","1","","","令6.1.30","","","240,000","","239,400","0","","","1","","240,000","34","0,030","12","7,200","","7,200","","","7,200","","","232,200","","","7,800","","","7,200"
