"種類","固定資産コード","原価区分(%)原・販・外","部門","名 称","構造・細目","償却方法","数量","事業供用年月日","処分年月日","(5%相当額)","取得価額","期首帳簿価額","償却基礎金額","耐用年数","償却率","償却期間","普通償却限度額","特別償却限度額","合計","当期償却額","償却累計額","期末帳簿価額","摘要"
"","","","","","【建物(定額法)】","","","","","","","","","","","","","","","","","",""
"11","1100000005","0・100・0","000: 共通部門","柳町SS キャノピー","","定額法","1.00","H21.8.1","","","850,122","1","850,122","12年","0.084","12/12","0","","0","0","850,121","1",""
"11","1100000006","0・100・0","000: 共通部門","柳町SS SS販売室","","定額法","1.00","H21.8.1","","","3,601,539","1","3,601,539","12年","0.084","12/12","0","","0","0","3,601,538","1",""
"11","1100000007","0・100・0","000: 共通部門","柳町SS SS販売室","","定額法","1.00","H21.8.1","","","3,601,539","1","3,601,539","12年","0.084","12/12","0","","0","0","3,601,538","1",""
"11","1100000008","0・100・0","000: 共通部門","柳町SS リフト室","","定額法","1.00","H21.8.1","","","4,489,651","1","4,489,651","12年","0.084","12/12","0","","0","0","4,489,650","1",""
"","","","","建物(定額法)","計","","","","","","12,542,851","4","12,542,851","","","","0","0","0","0","12,542,847 12,542,847","4",""
"","","","","","","","","","","【期末資産の取得価類】","12,542,851","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】 0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","【構築物(旧定率法)】","","","","","","","","","","","","","","","","","",""
"13","1300000003","0・100・0","000: 共通部門","ガードレール","","旧定率法","1.00","S51.6.30","","(6,835)","136,700","1","1","10年","0.206","12/12","0","","0","0","136,699","1",""
"13","1300000004","0・100・0","000: 共通部門","柳町駐車場 舗装工事","","旧定率法","1.00","S57.6.30","","(272,500)","5,450,000","1","1","15年","0.142","12/12","0","","0","0","5,449,999","1",""
"13","1300000005","0・100・0","000: 共通部門","下水道切替工事","","旧定率法","1.00","S58.5.30","","(41,750)","835,000","1","1","15年","0.142","12/12","0","","0","0","834,999","1",""
"13","1300000006","0・100・0","000: 共通部門","柳町駐車場 整備工事","","旧定率法","1.00","H1.8.30","","(11,000)","220,000","1","1","10年","0.206","12/12","0","","0","0","219,999","1",""
"13","1300000007","0・100・0","000: 共通部門","駐車場ガードレール","","旧定率法","1.00","H3.10.21","","(18,952)","379,040","1","1","10年","0.206","12/12","0","","0","0","379,039","1",""
"","","","","構築物(旧定率法)","計","","","","","","7,020,740","5","5","","","","0","0","0","0","7,020,735 7,020,735","5",""
"","","","","","","","","","","【期末資産の取得価類】","7,020,740","【期中買入額】 0","【期中売却額】 0","","","","【売却損】 0","【売却益】 0","【除却時処分見込価額】 0","【除却損】 0","","",""
"","","","","","(種類別合計)","","","","","","","","","","","","","","","","","",""
"","","","","","建物","","","","","","12,542,851","4","12,542,851","","","","0","0","0","0","12,542,847 12,542,847","4",""
"","","","","","構築物","","","","","","7,020,740","5","5","","","","0","0","0","0","7,020,735 7,020,735","5",""
"","","","","","合計","","","","","","19,563,591","9","12,542,856","","","","0","0","0","0","19,563,582 19,563,582","9",""
