"資産コード 償却方法 数量","資産名","構造","細目","耐年 償率","事業供用日","償却月数","取得価額","期首過不足額","期首帳簿価額","期中増加額","期中減少額","普(増)償却(限度)","特(割)償却(限度)","当期償却限度額","当期償却額","当期超過額","当期認容額","繰越過不足額","期末帳簿価額","摘要","償却累計額"
"11001 -1 旧額 1棟","管理棟建物","木造・合成樹脂造","事務所用","24 0.042","平14.11.15","12","62,500,000","6,321,902","3,125,000","","","2,362,500","","2,362,500","o","","2,362,500","3,959,402","3,125,000","","59,375,000"
"11004 定額 1棟","管理部倉庫","木造・合成樹脂造","倉庫用・その他","15 0.067","平21.6.10","12","21,500,000","","8,306,350","","","1,440,500","","1,440,500","*7,124,100","5,683,600","","5,683,600","1,182,250","","20,317,750"
"11007 旧額 1棟","管理部第二倉庫","金属3ミリ超4ミリ以下","倉庫用・その他","24 0.042","平18.4.15","12","20,000,000","","19,160,000","","","756,000","","756,000","*8,485,766","7,729,766","","7,729,766","10,674,234","","9,325,766"
"4112300002 20率 1台","製造装置","7","印刷・同関連業用","10 0.200","平24.12.21","12","5,000,000","","2,578,126","","","515,625","","515,625","515,625","","","","2,062,501","","2,937,499"
"4112300004 20率 1台","パソコン","事務・通信機器","電子計算機","4 0.500","平26.5.13","11","200,000","","85,417","85,417","","53,385","","53,385","53,385","","","","32,032","取得","167,968"
"5112400003 20率 1台","トラック","運送事業用など","自動車・大型乗用","5 0.500","平25.4.10","12","10,000,000","","2,500,000","","","1,250,000","","1,250,000","1,250,000","","","","1,250,000","","8,750,000"
"65001 -1 旧率 1セット","キャビネット","家具","キャビネット・金属製","15 0.142","平18.5.15","12","720,000","","84,367","","","11,980","","11,980","11,980","","","","72,387","","647,613"
"65021 -1 旧率 1台","金庫","容器及び金庫","金庫・その他","20 0.109","平19.7.10","12","330,000","","75,863","","","8,269","","8,269","8,269","","","","67,594","","262,406"
"65051 -1 20率 1台","ファクシミリ","事務・通信機器","ファクシミリ","5 0.400","平23.6.15","6","285,000","","78,581","","62,865","15,716","","15,716","15,716","","","","0","除却","222,135"
"65054 -1 旧率 1セット","サーバー用HDD一式","事務・通信機器","電子計算機","6 0.319","平22.5.15","12","1,230,000","","536,902","","","1,024","","1,024","1,024","","","","535,878","","694,122"
"65057 20率 1セット","応接セット","家具","応接セット・その他","8 0.250","平26.5.8","11","300,000","","300,000","300,000","","68,750","","68,750","68,750","","","","231,250","取得","68,750"
"65511 20率1","営業用モバイルPC","事務・通信機器","電子計算機","4 0.500","平25.10.27","12","200,000","","137,500","","","68,750","","68,750","68,750","","","","68,750","","131,250"
"65553 リ定 1台","カラーコピー複合機","","","","平24.6.27","60 12","3,150,000","","735,000","","","630,000","","630,000","630,000","","","","105,000","","3,045,000"
"6555900007 20率 1台","パソコン","事務・通信機器","電子計算機","","平25.4.2","12","200,000","","10,547","","","10,547","","10,547","10,547","","","","0","","200,000"
"6555900009 20率 1台","パソコン","事務・通信機器","電子計算機","","平25.12.15","12","200,000","","22,266","","","22,266","","22,266","22,266","","","","0","","200,000"
"6555900010 20率 1台","パソコン","事務・通信機器","電子計算機","","平25.4.1","12","200,000","","10,547","","","10,547","","10,547","10,547","","","","0","","200,000"
"6555900011 20率 1台","パソコン","事務・通信機器","電子計算機","","平25.3.13","12","100,000","","35,547","","","35,547","","35,547","35,547","","","","0","","100,000"
"6555900012 20率 1台","パソコン","事務・通信機器","電子計算機","","平25.2.18","12","100,000","","33,594","","","33,594","","33,594","33,594","","","","0","","100,000"
"6555901 20率 1台","デスクトップPC","事務・通信機器","電子計算機","4 0.500","平26.4.9","12","200,000","","200,000","200,000","","100,000","","100,000","100,000","","","","100,000","取得","100,000"
"66002 20率 1台","デスクトップPC","事務・通信機器","電子計算機","","平26.5.8","11","100,000","","100,000","100,000","","100,000","","100,000","100,000","","","","0","取得","100,000"
"66003 20率 1台","デスクトップPC","事務・通信機器","電子計算機","","平26.5.8","11","108,000","","108,000","108,000","","108,000","","108,000","108,000","","","","0","取得","108,000"
