sheet_name,page_num,row_num,master_item,correct_amount
貸借対照表,1,1,流動資産,801199518
貸借対照表,1,2,現金,2000
貸借対照表,1,3,小口現金,325621
貸借対照表,1,4,当座預金,38732529
貸借対照表,1,5,普通預金,74201274
貸借対照表,1,6,定期預金,391088667
貸借対照表,1,7,定期積立預金,57450000
貸借対照表,1,8,売掛金,3532062
貸借対照表,1,9,未収入金,231187758
貸借対照表,1,10,貯蔵品,964
貸借対照表,1,11,前払費用,2158784
貸借対照表,1,12,短期貸付金,2098044
貸借対照表,1,13,仮払金,421815
貸借対照表,1,14,固定資産,2516306456
貸借対照表,1,15,有形固定資産,1992582523
貸借対照表,1,16,建物,1692456470
貸借対照表,1,17,建物付属設備,962432264
貸借対照表,1,18,構築物,249206478
貸借対照表,1,19,機械装置,8331589
貸借対照表,1,20,車両運搬具,197699021
貸借対照表,1,21,工具器具備品,129279451
貸借対照表,1,22,土地,664172648
貸借対照表,1,23,その他の有形固定資産,3370000
貸借対照表,1,24,減価償却累計額,-1914365398
貸借対照表,1,25,無形固定資産,28189844
貸借対照表,1,26,借地権,20457620
貸借対照表,1,27,電話加入権,5262460
貸借対照表,1,28,ソフトウェア,2469764
貸借対照表,1,29,投資その他の資産,495534089
貸借対照表,1,30,投資有価証券,211140683
貸借対照表,1,31,出資金,3700100
貸借対照表,1,32,長期前払費用,17886090
貸借対照表,1,33,長期貸付金,33423486
貸借対照表,1,34,保険積立金,102849695
貸借対照表,1,35,修繕積立金,2553045
貸借対照表,1,36,リサイクル預託金,797950
貸借対照表,1,37,差入保証金,48592914
貸借対照表,1,38,敷金,74590126
貸借対照表,1,39,繰延資産,2673945
貸借対照表,1,40,資産の部合計,3320179919
貸借対照表,1,41,流動負債,723785582
貸借対照表,1,42,短期借入金,660212944
貸借対照表,1,43,未払金,46568553
貸借対照表,1,44,未払費用,5380820
貸借対照表,1,45,未払消費税,8521900
貸借対照表,1,46,預り金,2788865
貸借対照表,1,47,未払法人税等,312500
貸借対照表,1,48,固定負債,2290873738
貸借対照表,1,49,長期借入金,2284578138
貸借対照表,1,50,長期預り金,940000
貸借対照表,1,51,預り保証金,300000
貸借対照表,1,52,その他の固定負債,5055600
貸借対照表,1,53,負債の部合計,3014659320
貸借対照表,1,54,株主資本,305520599
貸借対照表,1,55,資本金,2000000
貸借対照表,1,56,法定準備金,14000000
貸借対照表,1,57,利益準備金,5000000
貸借対照表,1,58,その他資本剰余金,9000000
貸借対照表,1,59,剰余金,271520599
貸借対照表,1,60,その他利益剰余金,271520599
貸借対照表,1,61,繰越利益剰余金,271520599
貸借対照表,1,62,純資産 of 合計,305520599
貸借対照表,1,63,負債・純資産の部合計,3320179919
