"account","金額"
"科  目",""
"【流動資産】","801,199,518"
"現  金","2,000"
"小口現金","325,621"
"当座預金","38,732,529"
"普通預金","74,201,274"
"定期預金","391,088,667"
"定期積立預金","57,450,000"
"売掛金","3,532,062"
"未収入金","231,187,758"
"貯蔵品","964"
"前払費用","2,158,784"
"短期貸付金","2,098,044"
"仮払金","421,815"
"【固定資産】","2,516,306,456"
"（有形固定資産）","1,992,582,523"
"建  物","1,692,456,470"
"建物付属設備","962,432,264"
"構 築 物","249,206,478"
"機械装置","8,331,589"
"車両運搬具","197,699,021"
"工具器具備品","129,279,451"
"土  地","664,172,648"
"その他の有形固定資産","3,370,000"
"減価償却累計額","-1,914,365,398"
"（無形固定資産）","28,189,844"
"借地権","20,457,620"
"電話加入権","5,262,460"
"ソフトウェア","2,469,764"
"（投資その他の資産）","495,534,089"
"投資有価証券","211,140,683"
"出資金","3,700,100"
"長期前払費用","17,886,090"
"長期貸付金","33,423,486"
"保険積立金","102,849,695"
"修繕積立金","2,553,045"
"リサイクル預託金","797,950"
"差入保証金","48,592,914"
"敷  金","74,590,126"
"【繰延資産】","2,673,945"
"繰延資産","2,673,945"
"資産の部合計","3,320,179,919"
"科  目",""
"【流動負債】","723,785,582"
"短期借入金","660,212,944"
"未払金","46,568,553"
"未払費用","5,380,820"
"未払消費税","8,521,900"
"預り金","2,788,865"
"未払法人税等","312,500"
"【固定負債】","2,290,873,738"
"長期借入金","2,284,578,138"
"長期預り金","940,000"
"預り保証金","300,000"
"その他の固定負債","5,055,600"
"負債の部合計","3,014,659,320"
"科  目",""
"【株主資本】","305,520,599"
"【資 本 金】","20,000,000"
"【法定準備金】","14,000,000"
"利益準備金","5,000,000"
"その他資本剰余金","9,000,000"
"【剰 余 金】","271,520,599"
"（その他利益剰余金）","271,520,599"
"繰越利益剰余金","271,520,599"
"純資産の部合計","305,520,599"
"負債・純資産の部合計","3,320,179,919"
