"account","金額","amount_1"
"役員報酬","70,760,000",""
"給与手当","41,381,232",""
"賞与","2,708,784",""
"法定福利費","9,594,025",""
"福利厚生費","120,985",""
"消耗品費","9,506,661",""
"事務用品費","334,915",""
"地代家賃","139,444,913",""
"リース料","6,197,469",""
"保険料","15,644,324",""
"修繕費","14,942,441",""
"租税公課","23,622,176",""
"少額償却資産","1,929,614",""
"減価償却費","118,846,296",""
"旅費交通費","12,099,755",""
"通信費","17,456,517",""
"水道光熱費","34,573,884",""
"支払手数料","725,000",""
"発送配達費","6,000",""
"広告宣伝費","4,931,097",""
"接待交際費","15,280,198",""
"車輛費","23,130,328",""
"管理諸費","6,656,475",""
"新聞図書費","35,721",""
"会議費","2,303,207",""
"雑費","36,984,238",""
"販売費及び一般管理費合計","","609,216,255"
