"account","amount_0","金額","amount_2"
"科目","","",""
"売上高","","",""
"ネットワーク収入","376,587,580","",""
"委託収入","191,849,578","",""
"資産運用収入","27,915,531","596,352,689","596,352,689"
"売上原価","","",""
"期首棚卸高","","0",""
"ネットワーク請料","154,903,200","",""
"外注下請料","141,873,333","",""
"外注派遣料","49,895,310","346,671,843",""
"合計","","346,671,843",""
"期末棚卸高","","0","346,671,843"
"売上総利益","","","249,680,846"
"販売費及び一般管理費","","",""
"販売費及び一般管理費","","207,789,966","207,789,966"
"営業利益","","","41,890,880"
"営業外収益","","",""
"受取利息","","13,380",""
"雑収入","","346,264","359,644"
"営業外費用","","",""
"支払利息","","1,752,562",""
"雑損失","","57,000","1,809,562"
"経常利益","","","40,440,962"
"特別利益","","",""
"固定資産売却益","","209,999","209,999"
"特別損失","","",""
"退職金","","523,340","523,340"
"税引前当期純利益","","","40,127,621"
"法人税、住民税及び事業税","","13,969,484","13,969,484"
"当期純利益","","","26,158,137"
