"account","金額_0","金額_1"
"科目","",""
"出向負担金","6,343,189",""
"旅費交通費","613,480",""
"広告宣伝費","564,364",""
"容器包装費","677,500",""
"発送配達費","911,690",""
"手数料","2,599,761",""
"教育訓練費","74,400",""
"役員報酬","21,800,000",""
"衛生費","720,000",""
"事務員給与","82,512,745",""
"従業員賞与","12,756,854",""
"法定福利費","14,198,229",""
"厚生費","1,713,358",""
"減価償却費","9,134,536",""
"リース料","5,121,409",""
"地代家賃","11,118,549",""
"修繕費","295,647",""
"事務用消耗品費","1,134,934",""
"通信費","2,611,251",""
"水道光熱費","1,516,681",""
"租税公課","817,058",""
"寄付金","8,000",""
"接待交際費","609,865",""
"保険料","2,292,360",""
"備品消耗品費","7,285,422",""
"管理諸費","2,169,572",""
"業務委託費","5,600,000",""
"採用費","2,769,730",""
"貸倒償却","136,097",""
"雑費","9,683,285",""
"合計","207,789,966",""
