"account","amount_0","amount_1"
"(売上高)","",""
"売上高","3,109,508,500",""
"売上高(有償)","312,097,904",""
"売上高合計","","3,421,606,404"
"(売上原価)","",""
"当期製品製造原価","2,536,450,053",""
"期首棚卸高","41,738,229",""
"商品仕入高","378,542,390",""
"期末棚卸高","48,534,220","2,908,196,452"
"売上総利益","","513,409,952"
"(販売費及び一般管理費)","","314,757,890"
"営業利益","","198,652,062"
"(営業外収益)","",""
"貸倒引当金戻入額","3,000,000",""
"受取利息","2,443,616",""
"雑収入","6,825,390",""
"営業外収益合計","","12,269,006"
"(営業外費用)","",""
"支払利息・割引料","32,985,478",""
"為替差損","1,509,463",""
"雑損失","16,549,544",""
"営業外費用合計","","51,044,485"
"経常利益","","159,876,583"
"特別利益合計","","0"
"(特別損失)","",""
"貸倒損失","7,653,493",""
"固定資産売却損","1,781,529",""
"固定資産除却損","23,434,020",""
"特別損失合計","","32,869,042"
"税引前当期純利益","","127,007,541"
"法人税等","200,337",""
"法人税等合計","","200,337"
"当期純利益","","126,807,204"
