account,amount_0,amount_1,amount_2
I売上高,,,
売上高,"3,680,999,214","3,680,999,214","3,680,999,214"
II売上原価,,,
期首棚卸高,,"762,634,049",
商品仕入高,"56,132,586","56,132,586",
当期製品製造原価,,"2,784,545,673",
合計,,"3,603,312,308",
他勘定振替高,,"14,234,135",
期末棚卸高,,"747,549,341","2,841,528,832"
売上総利益,,,"839,470,382"
III販売費及び一般管理費,,,
販売費及び一般管理費,,"709,813,235","709,813,235"
営業利益,,,"129,657,147"
IV営業外収益,,,
受取利息,,"33,297",
受取配当金,,"1,354,006",
雑収入,,"15,836,436","17,223,739"
V営業外費用,,,
支払利息,,"33,188,939",
繰延資産償却,,"12,707,800",
雑損失,,2,"45,896,741"
経常利益,,,"100,984,145"
VI特別利益,,,
固定資産売却益,,"7,952,037",
貸倒引当金戻入益,,"2,300,000","10,252,037"
VII特別損失,,,
貸倒引当金繰入額,,"2,800,000",
固定資産除却損,,"1,768,654","4,568,654"
税引前当期純利益,,,"106,667,528"
法人税、住民税及び事業税,,"47,482,155","47,482,155"
当期純利益,,,"59,185,373"
