account,金額_0,金額_1
役員報酬,"89,700,000",
給料手当,"64,067,485",
賞与,"5,310,000",
法定福利費,"13,655,385",
福利厚生費,"871,609",
外注費,"2,356,393",
荷造運賃,"778,480",
広告宣伝費,"14,989,203",
接待交際費,"1,263,767",
会議費,"1,095,497",
旅費交通費,"11,600,291",
通信費,"3,167,610",
販売手数料,"10,389,926",
消耗品費,"6,759,805",
修繕費,"613,020",
水道光熱費,"965,518",
新聞図書費,"31,687",
諸会費,"22,700",
支払手数料,"12,644,001",
地代家賃,"15,165,411",
賃借料,"62,413",
リース料,"157,045",
保険料,"5,782,747",
租税公課,"408,545",
支払報酬料,"1,592,000",
減価償却費,"4,771,839",
長期前払費用償却,"198,612",
雑費,"156,272",
販売費及び一般管理費合計,,"268,577,261"
