account,amount_0
株主資本,
資本金,
当期首残高,"10,000,000"
当期変動額,
別途積立金の取崩,
当期純損益金,
当期変動額合計,
当期末残高,"10,000,000"
利益剰余金,
利益準備金,
当期首残高,"2,500,000"
当期変動額,
別途積立金の取崩,
当期純損益金,
当期変動額合計,
当期末残高,"2,500,000"
その他利益剰余金,
別途積立金,
当期首残高,"17,000,000"
当期変動額,
別途積立金の取崩,"-17,000,000"
当期純損益金,
当期変動額合計,"-17,000,000"
当期末残高,
配当平均積立金,
当期首残高,"5,000,000"
当期変動額,
別途積立金の取崩,
当期純損益金,
当期変動額合計,
当期末残高,"5,000,000"
繰越利益剰余金,
当期首残高,"-14,305,224"
当期変動額,
別途積立金の取崩,"17,000,000"
当期純損益金,"-5,450,930"
当期変動額合計,"11,549,070"
当期末残高,"-2,756,154"
利益剰余金合計,
当期首残高,"10,194,776"
当期変動額,
別途積立金の取崩,
当期純損益金,"-5,450,930"
当期変動額合計,"-5,450,930"
当期末残高,"4,743,846"
株主資本合計,
当期首残高,"20,194,776"
当期変動額,
別途積立金の取崩,
当期純損益金,"-5,450,930"
当期変動額合計,"-5,450,930"
当期末残高,"14,743,846"
純資産の部合計,
当期首残高,"20,194,776"
当期変動額,
別途積立金の取崩,
当期純損益金,"-5,450,930"
当期変動額合計,"-5,450,930"
当期末残高,"14,743,846"
