account,金額
流動資産,"337,319,969"
現金及び預金,"237,224,800"
売掛金,"24,129,647"
商品,"54,689,665"
原材料,"20,040,521"
前払費用,"836,011"
仮払金,"399,325"
固定資産,"60,258,119"
有形固定資産,"20,274,997"
建物附属設備,"37,742,150"
機械装置,"2,700,000"
車両運搬具,"9,427,437"
工具器具備品,"8,674,112"
減価償却累計額,"-38,268,702"
投資その他の資産,"39,983,122"
出資金,"30,000"
敷金,"7,115,876"
長期前払費用,"418,880"
保険積立金,"32,418,366"
資産の部合計,"397,578,088"
流動負債,"79,636,544"
買掛金,"2,977,517"
未払金,"10,510,462"
未払法人税等,"22,221,200"
未払消費税等,"8,999,500"
前受金,"18,688,630"
預り金,"5,955,235"
一年内返済予定長期借入金,"10,284,000"
固定負債,"39,794,000"
長期借入金,"39,794,000"
負債の部合計,"119,430,544"
株主資本,"278,147,544"
資本金,"8,000,000"
利益剰余金,"270,147,544"
その他利益剰余金,"270,147,544"
繰越利益剰余金,"270,147,544"
純資産の部合計,"278,147,544"
負債及び純資産合計,"397,578,088"
