account,amount_0,amount_1
売上高,"330,493,187",
売上高合計,,"330,493,187"
期首商品棚卸高,"80,435,007",
当期商品仕入高,"57,063,598",
工具費（売上原価）,"1,428,520",
外注加工費（売上原価）,"3,177,260",
計,"142,104,385",
期末商品棚卸高,"74,730,186",
売上原価,,"67,374,199"
売上総利益金額,,"263,118,988"
販売費及び一般管理費合計,,"211,795,317"
営業利益金額,,"51,323,671"
受取利息,"4,407",
受取配当金,900,
為替差益,"5,518,754",
雑収入,"2,852,194",
営業外収益合計,,"8,376,255"
支払利息,"77,327",
営業外費用合計,,"77,327"
経常利益金額,,"59,622,599"
固定資産売却益,"5,020,069",
特別利益合計,,"5,020,069"
固定資産除却損,"462,160",
特別損失合計,,"462,160"
税引前当期純利益金額,,"64,180,508"
法人税等,,"22,222,051"
当期純利益金額,,"41,958,457"
