sheet_name,c0,c1
製造原価報告書,材料費,
製造原価報告書,期首材料棚卸高,57120498
製造原価報告書,材料仕入高,116774244
製造原価報告書,小計,173894742
製造原価報告書,期末材料棚卸高,41964344
製造原価報告書,材料費計,131930398
製造原価報告書,労務費,
製造原価報告書,賃金,55159271
製造原価報告書,法定福利費,15448737
製造原価報告書,福利厚生費,639499
製造原価報告書,役員報酬,10440000
製造原価報告書,労務費計,81687507
製造原価報告書,外注加工費,1764180
製造原価報告書,製造経費,
製造原価報告書,電力費,3100206
製造原価報告書,事務消耗品費,1640892
製造原価報告書,水道費,133450
製造原価報告書,車両費,2574212
製造原価報告書,運賃,2870760
製造原価報告書,消耗品費,1570641
製造原価報告書,賃借料,7800000
製造原価報告書,保険料,4237590
製造原価報告書,修繕費,662200
製造原価報告書,租税公課,841880
製造原価報告書,減価償却費,3110580
製造原価報告書,旅費,5177594
製造原価報告書,通信費,939443
製造原価報告書,手数料,1551826
製造原価報告書,接待交際費,128360
製造原価報告書,交通費,1259700
製造原価報告書,雑費,1584353
製造原価報告書,製造経費計,39183687
製造原価報告書,当期総製造費用,254565772
製造原価報告書,期首仕掛品棚卸高,14395401
製造原価報告書,小計,268961173
製造原価報告書,期末仕掛品棚卸高,8790926
製造原価報告書,当期製品製造原価,260170247
