account,金額,金額_1
(売上高),,
完成工事高,"1,941,845,822",
不動産部売上高,"182,348,766",
保険代理店収入,"3,300,282",
物販売上,"526,954","2,128,021,824"
(売上原価),,
期首棚卸高,"373,250,831",
仕入高(不動産),"138,703,313",
仕入高(その他),"900,669",
仕入高(他),"33,418",
当期製品製造原価,"1,459,478,986",
合計,"1,972,367,217",
期末棚卸高,"353,812,533","1,618,554,684"
売上総利益,,"509,467,140"
(販売費及び一般管理費),,"432,339,607"
営業利益,,"77,127,533"
(営業外収益),,
受取利息,"12,047",
受取配当金,"2,797,210",
雑収入,"84,126,334","86,935,591"
(営業外費用),,
支払利息・割引料,"16,594,411",
雑損失,"18,305,988","34,900,399"
経常利益,,"129,162,725"
(特別利益),,
固定資産売却益,"479,995",
受贈益,"409,000,000","409,479,995"
(特別損失),,
固定資産売却除却損,"64,959,378",
有価証券売却損,"117,288,593","182,247,971"
税引前当期純利益,,"356,394,749"
法人税等充当額,,"916,000"
当期純利益,,"355,478,749"
