"account","金額","金額_1"
"役員報酬","18,750,000",""
"給料手当","168,771,293",""
"退職金","1,424,852",""
"法定福利費","27,617,377",""
"福利厚生費","2,987,016",""
"広告宣伝費","30,235,513",""
"運賃","43,409",""
"繰延資産償却","266,000",""
"リース料","6,926,160",""
"外注費","3,000",""
"水道光熱費","7,153,858",""
"事務用消耗品費","5,231,846",""
"消耗品費","13,936,062",""
"賃借料","14,522,645",""
"支払保険料","10,575,919",""
"修繕費","7,671,504",""
"租税公課","6,280,241",""
"減価償却費","22,685,958",""
"接待交際費","3,215,543",""
"旅費交通費","3,218,415",""
"通信費","7,266,062",""
"支払手数料","61,671,391",""
"会議費","120,371",""
"諸会費","2,311,700",""
"寄付金","130,000",""
"図書教育費","858,746",""
"研究研修費","569,500",""
"雑費","7,895,226",""
"合計","","432,339,607"
