"account","amount_0"
"株主資本",""
"資本金",""
"当期首残高","70,000,000"
"当期末残高","70,000,000"
"利益剰余金",""
"利益準備金",""
"当期首残高","12,500,000"
"当期末残高","12,500,000"
"その他利益剰余金",""
"繰越利益剰余金",""
"当期首残高","-380,506,384"
"当期変動額当期純利益","355,478,749"
"当期末残高","-25,027,635"
"その他利益剰余金合計",""
"当期首残高","-380,506,384"
"当期変動額合計","355,478,749"
"当期末残高","-25,027,635"
"利益剰余金合計",""
"当期首残高","-368,006,384"
"当期変動額合計","355,478,749"
"当期末残高","-12,527,635"
"株主資本合計",""
"当期首残高","-298,006,384"
"当期変動額合計","355,478,749"
"当期末残高","57,472,365"
"純資産合計",""
"当期首残高","-298,006,384"
"当期変動額合計","355,478,749"
"当期末残高","57,472,365"
