regex	replace_char
[一一]	-
--	-

者B	都
番[也池]	番地
[Bア]皆	階

[DO]-	0-
[しノ]-	1-
-[しノ]	-1
[Zユ]-	2-
-[Zユ]	-2
[ろ了]-	3-
-[ろ了]	-3
S-	5-
-S	-5
[クワ]-	7-
-[クワ]	-7
-1[DO]	-10
-[いハ]	-11
[いハ]-	11-
-1[Zユ]	-12
-B	-13
B-	13-
Z[0DO]-	20-
-2[DO]	-20
[しノ]丁目	1丁目
[しノ]番	1番
[しノ]号	1号
[しノ]階	1階
[しノ]F	1F
[Zユ]丁目	2丁目
[Zユ]番	2番
[Zユ]号	2号
[Zユ]階	2階
[Zユ]F	2F
ろ丁目	3丁目
ろ番	3番
ろ号	3号
ろ階	3階
ろF	3F
S丁目	5丁目
S番	5番
S号	5号
S階	5階
SF	5F
[クワ]丁目	7丁目
[クワ]番	7番
[クワ]号	7号
[クワ]階	7階
[クワ]F	7F
[いハ]番	11番
[いハ]号	11号
[いハ]階	11階
[いハ]F	11F
B番	13番
B号	13号
B階	13階
BF	13F
-丁目	一丁目
-番	一番
-号	一号
-条	一条
第-	第一
[こニ]丁目	二丁目
[こニ]番	二番
[こニ]号	二号
[こニ]条	二条
第[こニ]	第二
[シミ]丁目	三丁目
[シミ]番	三番
[シミ]号	三号
[シミ]条	三条
第[シミ]	第三

アステイ	アスティ
イ[-一]スト	イースト
イン[夕タ][-一ー]	インター
ウ工スト	ウエスト
ガ[-一]デン	ガーデン
グル[-一]プ	グループ
サ[-一]ビス	サービス
シテイ	シティ
ステ[-一]シヨン	ステーション
セン[夕タ][-一ー]	センター
[夕タ][7クワ][-一ー]	タワー
パ[-一ー][7クワ]	パーク
フオア	フォア
プラ[千干]ナ	プラチナ
フ口ント	フロント
ホ[-一]ム	ホーム
ポ[-一]ト	ポート
[りリ]バ[-一ー]	リバー

ヒヒ	比
コヒ	北
七[カ力]	切
メ[りリ]	刈
[チ千干][りリ]	刊
至[りリ]	到
貝[りリ]	則
斉[りリ]	剤
乗[りリ]	剰
害[りリ]	割
倉[りリ]	創
[エ工][カ力]	功
[カ力][ロ口]	加
免[カ力]	勉
イヒ	化
イニ	仁
イム	仏
イ[土士]	仕
イ[せやセヤ也]	他
イ寸	付
イ山	仙
イ[ホ不木]	休
イ中	仲
イ反	仮
イ壬	任
イ[大犬]	伏
イ支	伎
イ尹	伊
イ五	伍
イ可	何
イ本	体
イ主	住
イ立	位
イ氏	低
イ以	似
イ司	伺
イ申	伸
イ半	伴
イ左	佐
イ旦	但
イ白	伯
イ右	佑
イ加	伽
イ田	佃
イ令	伶
イ吏	使
イ列	例
イ西	価
イ共	供
イ衣	依
イ圭	佳
イ寺	侍
イ毎	侮
イ有	侑
イ系	係
イ言	信
イ更	便
イ呆	保
イ谷	俗
イ足	促
イ呂	侶
イ昔	借
イ固	個
イ表	俵
イ直	値
イ非	俳
イ到	倒
イ放	倣
イ委	倭
イ建	健
イ則	側
イ為	偽
イ思	偲
イ韋	偉
イ動	働
イ頃	傾
イ曽	僧
イ責	債
イ象	像
イ意	億
イ義	儀
イ需	儒
イ憂	優
イ賞	償
イ諸	儲
十専	博
耳又	取
言十	計
言丁	訂
言ト	訃
言己	記
言川	訓
言寸	討
言午	許
言方	訪
言尺	訳
言正	証
言平	評
言司	詞
言永	詠
言召	詔
言舌	話
言寺	詩
言式	試
言成	誠
言吉	詰
言羊	詳
言吾	語
言売	読
言呉	誤
言志	誌
言忍	認
言秀	誘
言炎	談
言周	調
言果	課
言者	諸
言延	誕
言青	請
言若	諾
言取	諏
言京	諒
言亨	諄
言射	謝
言兼	謙
言普	譜
言義	議
言賛	讃
子系	孫
[ロ口]十	叶
[ロ口]欠	吹
[ロ口][末未]	味
[ロ口]兄	呪
[ロ口]美	咲
[ロ口]貝	唄
[ロ口]里	哩
[ロ口]昌	唱
[ロ口]垂	唾
山支	岐
山甲	岬
山奇	崎
山差	嵯
山鳥	嶋
巾晃	幌
女又	奴
女子	好
女[ロ口]	如
女己	妃
女少	妙
女方	妨
女壬	妊
女[末未]	妹
女台	始
女生	姓
女石	妬
女因	姻
女圭	娃
女至	姪
女老	姥
女呉	娯
女臣	姫
女辰	娠
女免	娩
女家	嫁
女兼	嫌
[タ夕][卜ト]	外
[エ工土士][せやセヤ也]	地
[エ工土士]反	坂
[エ工土士]方	坊
[エ工土士]平	坪
[エ工土士]旦	坦
[エ工土士]成	城
[エ工土士]亘	垣
[エ工土士]里	埋
[エ工土士]屈	掘
[エ工土士]奇	埼
[エ工土士]直	埴
[エ工土士]是	堤
[エ工土士]家	塚
[エ工土士]界	堺
[エ工土士]鬼	塊
[エ工土士]高	塙
[エ工土士]曽	増
[ろ弓]ム	弘
[ろ弓]玄	弦
[ろ弓]長	張
[ろ弓]単	弾
キ丁	打
キ及	扱
キ斤	折
キ支	技
キ比	批
キ友	抜
キ尺	択
キ少	抄
キ巴	把
キ夫	扶
キ召	招
キ広	拡
キ旦	担
キ甲	押
キ石	拓
キ氏	抵
キ白	拍
キ包	抱
キ句	拘
キ由	抽
キ巨	拒
キ出	拙
キ皮	披
キ[末未]	抹
キ立	拉
キ寺	持
キ合	拾
キ舌	括
キ考	拷
キ兆	挑
キ式	拭
キ安	按
キ辰	振
キ足	捉
キ届	堀
キ苗	描
キ空	控
キ非	排
キ居	据
キ念	捻
キ奈	捺
キ奉	捧
キ京	掠
キ是	提
キ軍	揮
キ屋	握
キ員	損
キ童	撞
キ番	播
キ無	撫
シ十	汁
シ丁	汀
シ[せやセヤ也]	池
シ干	汗
シ[エ工]	江
シ女	汝
シ[タ夕]	汐
シ尺	沢
シ中	沖
シ少	沙
シ太	汰
シ及	汲
シ永	泳
シ主	注
シ皮	波
シ由	油
シ立	泣
シ台	治
シ去	法
シ可	河
シ召	沼
シ白	泊
シ必	泌
シ尼	泥
シ包	泡
シ[末未]	沫
シ毎	海
シ舌	活
シ羊	洋
シ先	洗
シ共	洪
シ争	浄
シ同	洞
シ洲	洲
シ各	洛
シ光	洸
シ谷	浴
シ兵	浜
シ良	浪
シ告	浩
シ青	清
シ夜	液
シ斉	済
シ炎	淡
シ歩	渉
シ京	涼
シ亨	淳
シ者	渚
シ定	淀
シ林	淋
シ度	渡
シ相	湘
シ奏	湊
シ羊	洋
シ原	源
シ容	溶
シ骨	滑
シ帯	滞
シ竜	滝
シ弱	溺
シ魚	漁
シ票	漂
シ責	漬
シ朝	潮
シ登	澄
シ替	潜
シ貴	潰
シ農	濃
シ零	澪
九日	旭
日月	明
日王	旺
日召	昭
日央	映
日寺	時
日西	晒
日青	晴
日免	晩
日音	暗
日軍	暉
日署	曙
糸己	紀
糸[エ工]	紅
糸氏	紙
糸内	納
糸文	紋
糸分	紛
糸方	紡
糸[友広]	紘
糸少	紗
糸田	細
糸冬	終
糸召	紹
糸甘	紺
糸申	紳
糸玄	絃
糸由	紬
糸会	絵
糸合	給
糸吉	結
糸色	絶
糸充	統
糸各	絡
糸交	紋
糸売	続
糸東	練
糸岡	綱
糸者	緒
糸定	綻
糸泉	線
糸帝	締
糸亀	縄
糸従	縦
糸逢	縫
糸高	縞
糸責	績
糸宿	縮
糸善	繕
月月	朋
月券	勝
王久	玖
王元	玩
王可	珂
王令	玲
王加	珈
王白	珀
王朱	珠
王里	理
王求	球
王見	現
王英	瑛
王虎	琥
[ホ不木]し	札
[ホ不木]寸	村
[ホ不木]才	材
[ホ不木]丈	杖
[ホ不木][土士]	杜
[ホ不木][ホ木]	林
[ホ不木]反	板
[ホ不木]支	枝
[ホ不木]不	杯
[ホ不木]斤	折
[ホ不木]午	杵
[ホ不木]比	枇
[ホ不木]古	枯
[ホ不木]丙	柄
[ホ不木]卯	柳
[ホ不木]甘	柑
[ホ不木]交	校
[ホ不木]毎	梅
[ホ不木]各	格
[ホ不木]兆	桃
[ホ不木]全	栓
[ホ不木]会	桧
[ホ不木]同	桐
[ホ不木]更	梗
[ホ不木]弟	梯
[ホ不木]尾	梶
[ホ不木]奉	棒
[ホ不木]朋	棚
[ホ不木]奇	椅
[ホ不木]皆	楷
[ホ不木]盾	楯
[ホ不木]神	榊
[ホ不木]秦	榛
[ホ不木]倉	槍
[ホ不木]追	槌
[ホ不木]黄	横
[ホ不木]票	標
[ホ不木]曹	槽
[ホ不木]規	槻
[ホ不木]尊	樽
[ホ不木]登	橙
[ホ不木]節	櫛
ネし	礼
ネ[土士]	社
