regex	replace_char
#共通#	#共通#
#同じ#	#同じ#
^["]$	〃
^11$	〃
^1$	〃

#前株#	#前株#
^1株[りリ]	(株)
^1株	(株
^\(株[りリ]	(株)
^株[りリ]	株)
^株\)	(株)

^1有[リ]	(有)
^1有	(有
^\(有[リ]	(有)
^有[リ]	有)

#後株#	#後株#
1株$	(株
\(株$	(株)
株[りリ]$	株)
1株\)$	(株)

\(有$	(有)
^有\)	(有)
1有$	(有
有[リ]$	有)
1有\)$	(有)

^朱式会社	株式会社

[エヱ]業	工業
[エヱ]房	工房
[エヱ]販	工販
化[エヱ]	化工
鉄[エヱ]	鉄工
精[エヱ]	精工
紙[エヱ]	紙工
機[エヱ]	機工
重[エヱ]	重工
電[エヱ]	電工
商[エヱ]	商工
鍛[エヱ]	鍛工
商専	商事

UF」	UFJ
UEJ	UFJ
[U口吐叫山]丁	UFJ
UF丁	UFJ
U打	UFJ
三[藝萎姜変蓋夢]	三菱
^[菱変]U	三菱U
^三菱[U口吐叫山]町	三菱UFJ
^井住友	三井住友
^ゆらちょ	ゆうちょ
^齊梅信用	青梅信用
横派銀行	横浜銀行
きらぽし	きらぼし
帶広	帯広

銀銀	銀
鋼行	銀行
借用	信用
信用鉱	信用金庫
銀行ノ	銀行/
銀行1	銀行/
公庫ノ	公庫/
公庫1	公庫/
金庫ノ	金庫/
金庫1	金庫/
信金ノ	信金/
信金1	信金/
労金ノ	労金/
労金1	労金/
信組ノ	信組/
信組1	信組/
組合ノ	組合/
組合1	組合/
信連ノ	信連/
信連1	信連/
農協ノ	農協/
農協1	農協/
漁協ノ	漁協/
漁協1	漁協/

フアミ	ファミ
フイア	フィア
シエア	シェア
シエン	シェン
フエア	フェア
マツト	マット
ジヤス	ジャス
ジヤパ	ジャパ
シヤン	シャン
シユン	シュン
リユー	リュー
シヨン	ション
ジヨン	ジョン

-	ー
