regex	replace_char
年\s*教	年数
数\s*[墨最]	数量
期\s*[木朱]	期末
細\s*且	細目
帳\s*簿\s*価$	帳簿価額
^物\s*件\s*名\s*称	物件名称
^資\s*産\s*名	資産名
^物\s*件\s*名	物件名
^名\s*称	名称
^取\s*得	取得
^取\s*得\s*年\s*月\s*日	取得年月日
共\s*用	供用
^事\s*業\s*供\s*用\s*日	事業供用日
^事\s*業\s*供\s*用	事業供用
堅\s*偉	取得
償\s*却	償却
償\s*却\s*額	償却額
^方\s*法	方法
^取\s*得\s*価\s*額	取得価額
相\s*当\s*額	相当額
^耐\s*用\s*年\s*数	耐用年数
^耐\s*年	耐年
^耐\s*用	耐用
^年\s*数	年数
償\s*[率宰キ]	償率
償\s*却\s*[率宰キ]	償却率
償\s*[却劇]\s*[額類]	償却額
.*当\s*期\s*償\s*却\s*額.*	当期償却額
.*期\s*首\s*帳\s*簿\s*価\s*額.*	期首帳簿価額
.*期\s*末\s*帳\s*簿\s*価\s*額.*	期末帳簿価額
.*資\s*産\s*計\s*上\s*価\s*額.*	資産計上価額
.*当\s*期\s*償\s*却\s*限\s*度\s*額.*	当期償却限度額
.*総\s*支\s*払\s*回\s*数.*	総支払回数
.*当\s*期\s*支\s*払\s*回\s*数.*	当期支払回数
.*償\s*却\s*累\s*計\s*額.*	償却累計額

^[\(\)]$	1
for	
the	
in	
of	
and	

傘	金
剩	剰
嵩	高
蕷	預
㟢	寄
勳	動
黍	委
簗	築
幟	職

のの	の
売売	売
株株	株
資資	資
産産	産
営営	営
貸貸	貸
原原	原
評評	評
造造	造
固固	固
労労	労
雑雑	雑
車車	車
券券	券
外外	外
目目	目
借借	借
用用	用
上上	上
純純	純
益益	益
費費	費
債債	債
換換	換
高高	高
失失	失
計計	計
価価	価
金金	金
額額	額
販販	販
建建	建
期期	期
却却	却
有有	有
利利	利
業業	業
賃賃	賃
更更	更
未未	未
仕仕	仕
ー一	ー
部部	部
常常	常
びび	び
出出	出
流流	流
ソソ	ソ
収入収入	収入
一般一般	一般
△△	△
そそ	そ
ガガ	ガ
ココ	コ
デデ	デ
リリ	リ
一一	一
不不	不
中中	中
事事	事
人人	人
他他	他
仮仮	仮
任任	任
保保	保
修修	修
再再	再
前前	前
半半	半
受受	受
合合	合
商商	商
土土	土
完完	完
少少	少
工工	工
広広	広
当当	当
役役	役
従従	従
投投	投
接接	接
損損	損
支支	支
敷敷	敷
新新	新
旧旧	旧
最最	最
材材	材
棚棚	棚
構構	構
機機	機
次次	次
水水	水
法法	法
流流	流
減減	減
滞滞	滞
為為	為
具具	具
無無	無
燃燃	燃
特特	特
現現	現
短短	短
研研	研
社社	社
福福	福
租租	租
税税	税
積積	積
立立	立
経経	経
繰繰	繰
自自	自
荷荷	荷
製製	製
設設	設
負負	負
貯貯	貯
買買	買
賞賞	賞
退退	退
通通	通
過過	過
配配	配
長長	長
開開	開
関関	関
電電	電
預預	預
及及	及
附附	附
家家	家
名名	名

\(\)	
\(円\)	
岸数	年数
期聞	期間
簿[侮伍]	簿価
[償質價][却輝]	償却
償却却額	償却額
^[^償]却$	償却
蒜償却	償却
支帳簿価額	期末帳簿価額
^.*(期末帳簿価額).*$	期末帳簿価額
^.*(支帳簿価額|期末帳簿価額 and).*$	期末帳簿価額
資擁名	資産名
供翔年男	供用年月
期首簿価	期首帳簿価額
期末簿価	期末帳簿価額
^定取得	改定取得
