regex	replace_char
for	
the	
in	
of	
and	

傘	金
剩	剰
嵩	高
蕷	預
㟢	寄
勳	動
黍	委
簗	築
幟	職

のの	の
売売	売
株株	株
資資	資
産産	産
営営	営
貸貸	貸
原原	原
評評	評
造造	造
固固	固
労労	労
雑雑	雑
車車	車
券券	券
外外	外
目目	目
借借	借
用用	用
上上	上
純純	純
益益	益
費費	費
債債	債
換換	換
高高	高
失失	失
計計	計
価価	価
金金	金
額額	額
販販	販
建建	建
期期	期
却却	却
有有	有
利利	利
業業	業
賃賃	賃
更更	更
未未	未
仕仕	仕
ー一	ー
部部	部
常常	常
びび	び
出出	出
流流	流
ソソ	ソ
収入収入	収入
一般一般	一般
△△	△
そそ	そ
ガガ	ガ
ココ	コ
デデ	デ
リリ	リ
一一	一
不不	不
中中	中
事事	事
人人	人
他他	他
仮仮	仮
任任	任
保保	保
修修	修
再再	再
前前	前
半半	半
受受	受
合合	合
商商	商
土土	土
完完	完
少少	少
工工	工
広広	広
当当	当
役役	役
従従	従
投投	投
接接	接
損損	損
支支	支
敷敷	敷
新新	新
旧旧	旧
最最	最
材材	材
棚棚	棚
構構	構
機機	機
次次	次
水水	水
法法	法
流流	流
減減	減
滞滞	滞
為為	為
具具	具
無無	無
燃燃	燃
特特	特
現現	現
短短	短
研研	研
社社	社
福福	福
租租	租
税税	税
積積	積
立立	立
経経	経
繰繰	繰
自自	自
荷荷	荷
製製	製
設設	設
負負	負
貯貯	貯
買買	買
賞賞	賞
退退	退
通通	通
過過	過
配配	配
長長	長
開開	開
関関	関
電電	電
預預	預
及及	及
附附	附
家家	家
名名	名
